Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Year
ICBC,305.057,175.874,45.223,4034.482,1,Financials,Major Banks,Asia,China,2019
JPMorgan Chase,368.502,132.912,32.738,2737.188,2,Financials,Major Banks,North America,United States,2019
China Construction Bank,224.988,150.313,38.841,3382.422,3,Financials,Major Banks,Asia,China,2019
Agricultural Bank of China,197.045,137.456,30.894,3293.105,4,Financials,Regional Banks,Asia,China,2019
Bank of America,287.339,111.904,28.54,2377.164,5,Financials,Major Banks,North America,United States,2019
Apple,961.257,261.705,59.431,373.719,6,Information Technology,Computer Hardware,North America,United States,2019
Ping An Insurance Group,220.197,151.788,16.3,1038.3,7,Financials,Diversified Insurance,Asia,China,2019
Bank of China,142.958,126.677,27.5,3097.612,8,Financials,Major Banks,Asia,China,2019
Royal Dutch Shell,264.939,382.626,23.329,399.194,9,Energy,Oil & Gas Operations,Europe,Netherlands,2019
Wells Fargo,214.676,101.456,23.117,1887.792,10,Financials,Major Banks,North America,United States,2019
ExxonMobil,343.431,279.209,20.84,346.196,11,Energy,Oil & Gas Operations,North America,United States,2019
AT&T,233.325,170.805,19.37,531.864,12,Telecommunication Services,Telecommunications services,North America,United States,2019
Samsung Electronics,272.424,221.506,39.882,304.138,13,Information Technology,Semiconductors,Asia,South Korea,2019
Citigroup,161.112,99.974,17.928,1958.413,14,Financials,Major Banks,North America,United States,2019
Toyota Motor,176.602,272.144,17.241,465.625,15,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,2019
Microsoft,946.521,118.224,33.541,258.859,16,Information Technology,Software & Programming,North America,United States,2019
Alphabet,863.178,136.958,30.736,232.792,17,Information Technology,Computer Services,North America,United States,2019
Volkswagen Group,91.951,278.243,13.955,553.506,18,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,2019
Chevron,228.323,158.741,14.824,253.863,19,Energy,Oil & Gas Operations,North America,United States,2019
Verizon Communications,239.705,130.863,15.528,264.829,20,Telecommunication Services,Telecommunications services,North America,United States,2019
HSBC Holdings,175.46,64.294,13.664,2558.124,21,Financials,Major Banks,Europe,United Kingdom,2019
PetroChina,198.651,322.842,7.991,354.306,22,Energy,Oil & Gas Operations,Asia,China,2019
Allianz,102.303,118.843,8.803,1060.217,23,Financials,Diversified Insurance,Europe,Germany,2019
BP,149.548,299.065,9.332,282.176,24,Energy,Oil & Gas Operations,Europe,United Kingdom,2019
Total,149.486,184.202,11.401,256.762,25,Energy,Oil & Gas Operations,Europe,France,2019
Berkshire Hathaway,516.407,247.837,4.021,707.794,26,Financials,Investment Services,North America,United States,2019
China Mobile,197.572,111.804,17.906,223.708,27,Telecommunication Services,Telecommunications services,Asia,Hong Kong,2019
Amazon,916.05,232.887,10.073,162.648,28,Consumer Discretionary,Internet & Catalog Retail,North America,United States,2019
Walmart,296.094,514.405,6.67,219.295,29,Consumer Discretionary,Discount Stores,North America,United States,2019
Santander,84.077,89.455,9.214,1668.166,30,Financials,Major Banks,Europe,Spain,2019
China Merchants Bank,130.355,54.867,12.259,982.526,31,Financials,Regional Banks,Asia,China,2019
UnitedHealth Group,212.778,231.367,12.617,161.197,32,Health Care,Managed Health Care,North America,United States,2019
Comcast,192.037,94.507,11.731,251.684,33,Consumer Discretionary,Broadcasting & Cable,North America,United States,2019
BNP Paribas,68.712,101.602,8.446,2332.982,34,Financials,Major Banks,Europe,France,2019
Sinopec,105.633,399.679,9.534,233.003,35,Energy,Oil & Gas Operations,Asia,China,2019
Softbank,112.4,86.162,13.863,332.311,36,Telecommunication Services,Telecommunications services,Asia,Japan,2019
Daimler,71.342,197.445,8.552,321.933,37,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,2019
Johnson & Johnson,366.184,81.575,14.679,152.954,37,Health Care,Medical Equipment & Supplies,North America,United States,2019
Bank of Communications,63.612,64.752,11.191,1388.23,39,Financials,Major Banks,Asia,China,2019
Gazprom,59.861,128.43,18.916,305.935,40,Energy,Oil & Gas Operations,Asia,Russia,2019
RBC,114.929,46.276,9.642,1040.286,41,Financials,Major Banks,North America,Canada,2019
Nestle,281.294,93.433,10.356,138.989,42,Consumer Staples,Food Processing,Europe,Switzerland,2019
Mitsubishi UFJ Financial,65.008,53.664,9.041,2799.935,43,Financials,Major Banks,Asia,Japan,2019
Intel,263.127,70.848,21.053,127.963,44,Information Technology,Semiconductors,North America,United States,2019
Goldman Sachs Group,75.52,51.009,9.878,925,45,Financials,Investment Services,North America,United States,2019
TD Bank Group,103.836,42.544,8.683,1007.01,46,Financials,Major Banks,North America,Canada,2019
Sberbank,78.539,51.607,13.258,449.71,47,Financials,Regional Banks,Asia,Russia,2019
Morgan Stanley,80.169,50.87,8.509,875.964,48,Financials,Investment Services,North America,United States,2019
Boeing,214.543,101.127,10.453,117.359,49,Industrials,Aerospace & Defense,North America,United States,2019
Petrobras,91.193,95.681,7.051,222.015,50,Energy,Oil & Gas Operations,South America,Brazil,2019
Nippon Telegraph & Tel,80.173,107.501,8.74,199.607,51,Telecommunication Services,Telecommunications services,Asia,Japan,2019
Rosneft,72.161,112.937,8.739,191.272,52,Energy,Oil & Gas Operations,Asia,Russia,2019
Procter & Gamble,265.293,66.912,10.795,123.687,53,Consumer Staples,Household/Personal Care,North America,United States,2019
Pfizer,218.63,53.646,11.152,159.422,54,Health Care,Pharmaceuticals,North America,United States,2019
Industrial Bank,62.369,49.736,9.274,950.968,55,Financials,Major Banks,Asia,China,2019
General Motors,56.802,147.049,8.084,227.339,56,Consumer Discretionary,Auto & Truck Manufacturers,North America,United States,2019
BMW Group,57.486,115.002,8.396,238.895,57,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,2019
Itaú Unibanco Holding,80.779,53.781,6.751,383.203,58,Financials,Regional Banks,South America,Brazil,2019
Alibaba,480.797,51.892,10.273,133.726,59,Consumer Discretionary,Internet & Catalog Retail,Asia,China,2019
IBM,124.875,78.701,8.637,130.926,60,Information Technology,Computer Services,North America,United States,2019
Novartis,175.649,51.902,12.633,145.646,60,Health Care,Pharmaceuticals,Europe,Switzerland,2019
Postal Savings Bank Of China (PSBC),48.751,61.032,8.002,1386.051,60,Financials,Major Banks,Asia,China,2019
Facebook,512.005,55.838,22.112,97.334,63,Information Technology,Computer Services,North America,United States,2019
Siemens,96.998,98.316,5.465,164.165,64,Industrials,Conglomerates,Europe,Germany,2019
Shanghai Pudong Development,52.138,50.023,8.45,916.091,65,Financials,Major Banks,Asia,China,2019
Japan Post Holdings,44.521,115.601,4.324,2619.65,66,Financials,Life & Health Insurance,Asia,Japan,2019
Sumitomo Mitsui Financial,50.867,52.466,6.557,1841.136,67,Financials,Major Banks,Asia,Japan,2019
Banco Bradesco,70.702,62.628,5.22,332.14,68,Financials,Regional Banks,South America,Brazil,2019
Anheuser-Busch InBev,175.653,54.62,4.33,233.841,69,Consumer Staples,Beverages,Europe,Belgium,2019
Walt Disney,238.095,59.402,10.963,99.941,70,Consumer Discretionary,Broadcasting & Cable,North America,United States,2019
Reliance Industries,126.409,79.687,5.649,124.554,71,Energy,Oil & Gas Operations,Asia,India,2019
CITIC,43.607,68.042,6.41,978.461,72,Materials,Iron & Steel,Asia,Hong Kong,2019
Sony,60.146,76.865,7.348,190.695,73,Consumer Discretionary,Consumer Electronics,Asia,Japan,2019
Cisco Systems,248.275,50.822,12.865,102.462,74,Information Technology,Communications Equipment,North America,United States,2019
Tencent Holdings,472.062,47.228,11.949,105.382,74,Information Technology,Computer Services,Asia,China,2019
Honda Motor,50.545,142.646,6.62,180.934,76,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,2019
Enel,63.137,86.28,5.65,189.104,77,Utilities,Electric Utilities,Europe,Italy,2019
United Technologies,118.14,66.485,5.269,134.211,78,Industrials,Conglomerates,North America,United States,2019
Commonwealth Bank,92.822,31.396,6.736,690.223,79,Financials,Major Banks,Australia,Australia,2019
China State Construction Engineering,41.005,178.801,5.779,271.367,80,Industrials,Construction Services,Asia,China,2019
DowDuPont,87.606,85.977,3.827,188.03,81,Materials,Diversified Chemicals,North America,United States,2019
Equinor,77.551,77.862,7.619,112.508,82,Energy,Oil & Gas Operations,Europe,Norway,2019
American Express,95.34,43.282,6.867,188.602,83,Financials,Consumer Financial Services,North America,United States,2019
MetLife,43.384,66.855,5.123,692.53,84,Financials,Diversified Insurance,North America,United States,2019
AXA Group,63.602,139.662,2.216,1034.487,85,Financials,Diversified Insurance,Europe,France,2019
PepsiCo,178.157,64.983,12.585,75.466,86,Consumer Staples,Beverages,North America,United States,2019
Bank of Nova Scotia,67.077,32.366,6.447,787.545,87,Financials,Major Banks,North America,Canada,2019
Roche Holding,222.048,58.085,10.729,79.648,88,Health Care,Pharmaceuticals,Europe,Switzerland,2019
ING Group,52.699,39.362,5.548,1014.008,89,Financials,Major Banks,Europe,Netherlands,2019
Lloyds Banking Group,60.895,35.242,5.3,1015.821,90,Financials,Major Banks,Europe,United Kingdom,2019
Eni,62.483,89.437,4.986,139.529,91,Energy,Oil & Gas Operations,Europe,Italy,2019
Oracle,186.33,39.62,10.751,109.438,92,Information Technology,Software & Programming,North America,United States,2019
China Citic Bank,42.941,45.582,6.782,883.626,93,Financials,Regional Banks,Asia,China,2019
China Evergrande Group,42.495,71.698,5.797,273.829,94,Financials,Real Estate,Asia,China,2019
UBS,48.964,42.904,4.84,958.489,95,Financials,Major Banks,Europe,Switzerland,2019
AIRBUS,104.873,75.158,3.603,131.689,96,Industrials,Aerospace & Defense,Europe,Netherlands,2019
LukOil,61.103,127.914,9.856,82.632,97,Energy,Oil & Gas Operations,Asia,Russia,2019
Prudential Financial,42.397,61.266,4.024,815.078,98,Financials,Life & Health Insurance,North America,United States,2019
BASF,76.584,76.235,5.553,103.775,99,Materials,Diversified Chemicals,Europe,Germany,2019
SAIC Motor,51.474,135.217,5.442,114.012,100,Consumer Discretionary,Auto & Truck Manufacturers,Asia,China,2019
Westpac Banking Group,66.036,29.08,6.148,636.908,101,Financials,Major Banks,Australia,Australia,2019
British American Tobacco,90.924,32.658,8.043,186.381,102,Consumer Staples,Tobacco,Europe,United Kingdom,2019
US Bancorp,81.885,25.703,7.098,475.775,103,Financials,Major Banks,North America,United States,2019
Credit Agricole,38.353,52.245,4.668,1856.926,104,Financials,Regional Banks,Europe,France,2019
China Life Insurance,114.154,98.335,1.862,474.776,105,Financials,Life & Health Insurance,Asia,China,2019
Unilever,153.638,60.146,11.077,67.967,106,Consumer Staples,Household/Personal Care,Europe,Netherlands,2019
Glencore International,60.455,219.782,3.343,128.672,107,Materials,Diversified Metals & Mining,Europe,Switzerland,2019
Mitsubishi,42.463,127.412,5.308,153.189,108,Industrials,Trading Companies,Asia,Japan,2019
BHP Group,138.278,42.556,6.03,102.414,109,Materials,Diversified Metals & Mining,Australia,Australia,2019
Ford Motor,38.101,160.338,3.677,256.54,110,Consumer Discretionary,Auto & Truck Manufacturers,North America,United States,2019
Rio Tinto,99.964,40.533,13.782,90.949,111,Materials,Diversified Metals & Mining,Europe,United Kingdom,2019
Prudential,60.2,33.285,4.014,633.617,112,Financials,Life & Health Insurance,Europe,United Kingdom,2019
AIA Group,122.238,39.479,3.163,226.919,113,Financials,Life & Health Insurance,Asia,Hong Kong,2019
China Minsheng Banking,33.875,46.698,7.676,873.155,114,Financials,Regional Banks,Asia,China,2019
Sanofi,102.042,40.658,5.095,127.356,114,Health Care,Pharmaceuticals,Europe,France,2019
Deutsche Telekom,79.386,89.255,2.557,176.488,116,Telecommunication Services,Telecommunications services,Europe,Germany,2019
Zurich Insurance Group,47.686,46.938,3.717,374.145,117,Financials,Diversified Insurance,Europe,Switzerland,2019
Brookfield Asset Management,45.982,57.574,3.598,256.281,118,Financials,Real Estate,North America,Canada,2019
Merck & Co.,189.055,42.264,6.22,82.637,119,Health Care,Pharmaceuticals,North America,United States,2019
ANZ,53.963,27.544,4.863,682.036,120,Financials,Major Banks,Australia,Australia,2019
Caterpillar,82.51,54.722,6.147,78.509,121,Industrials,Heavy Equipment,North America,United States,2019
Saudi Basic Industries,99.999,45.056,5.744,85.337,122,Materials,Diversified Chemicals,Asia,Saudi Arabia,2019
Hon Hai Precision,41.172,175.556,4.28,110.009,123,Information Technology,Electronics,Asia,Taiwan,2019
China Vanke,46.533,41.058,5.005,222.64,124,Financials,Real Estate,Asia,China,2019
Mizuho Financial,39.799,33.069,4.625,1837.801,125,Financials,Major Banks,Asia,Japan,2019
CNOOC,83.886,33.878,7.966,98.865,126,Energy,Oil & Gas Operations,Asia,Hong Kong,2019
Home Depot,226.79,108.203,11.121,44.003,126,Consumer Discretionary,Home Improvement Retail,North America,United States,2019
Taiwan Semiconductor,222.396,34.203,11.644,68,126,Information Technology,Semiconductors,Asia,Taiwan,2019
Country Garden Holdings,35.243,56.734,5.191,237.367,129,Financials,Real Estate,Asia,China,2019
Capital One Financial,41.225,32.658,5.975,372.538,130,Financials,Consumer Financial Services,North America,United States,2019
Intesa Sanpaolo,45.877,28.13,4.778,900.483,130,Financials,Regional Banks,Europe,Italy,2019
Nissan Motor,33.599,108.668,4.395,172.845,132,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,2019
Coca-Cola,202.985,31.697,6.434,83.216,133,Consumer Staples,Beverages,North America,United States,2019
Bank of Montreal,50.371,26.233,4.593,614.176,134,Financials,Major Banks,North America,Canada,2019
BBVA-Banco Bilbao Vizcaya,41.641,28.305,5.535,773.557,135,Financials,Regional Banks,Europe,Spain,2019
Walgreens Boots Alliance,49.948,136.097,5.134,70.434,136,Consumer Staples,Drug Retail,North America,United States,2019
Chubb,63.539,32.635,3.962,167.771,137,Financials,Property & Casualty Insurance,Europe,Switzerland,2019
NAB - National Australia Bank,50.665,25.341,4.221,583.766,138,Financials,Major Banks,Australia,Australia,2019
Vale,68.274,36.781,7.017,88.167,139,Materials,Iron & Steel,South America,Brazil,2019
China Pacific Insurance,47.924,54.12,2.718,191.167,140,Financials,Life & Health Insurance,Asia,China,2019
Anthem,61.643,92.095,3.75,71.571,141,Health Care,Managed Health Care,North America,United States,2019
Telefónica,43.277,57.749,3.72,130.373,141,Telecommunication Services,Telecommunications services,Europe,Spain,2019
Christian Dior,89.566,55.243,3.037,88.332,143,Consumer Discretionary,Apparel/Accessories,Europe,France,2019
Generali Group,30.075,92.107,2.724,588.527,144,Financials,Diversified Insurance,Europe,Italy,2019
Iberdrola,55.653,41.381,3.556,129.219,145,Utilities,Electric Utilities,Europe,Spain,2019
PNC Financial Services,60.202,20.171,5.317,392.837,146,Financials,Major Banks,North America,United States,2019
GlaxoSmithKline,97.632,41.097,4.831,73.953,147,Health Care,Pharmaceuticals,Europe,United Kingdom,2019
Munich Re,36.31,62.872,2.725,311.574,147,Financials,Diversified Insurance,Europe,Germany,2019
Cigna,56.571,48.61,2.637,154.64,149,Health Care,Managed Health Care,North America,United States,2019
Medtronic,112.952,30.555,4.919,88.73,150,Health Care,Medical Equipment & Supplies,Europe,Ireland,2019
China Everbright Bank,31.826,33.114,5.115,634.652,151,Financials,Regional Banks,Asia,China,2019
China Shenhua Energy,57.349,38.403,6.658,85.594,152,Materials,Diversified Metals & Mining,Asia,China,2019
Honeywell International,123.138,40.294,6.742,58.56,153,Industrials,Conglomerates,North America,United States,2019
Banco do Brasil,34.467,42.029,3.781,368.373,154,Financials,Regional Banks,South America,Brazil,2019
People's Insurance,54.008,73.856,2.033,146.366,155,Financials,Property & Casualty Insurance,Asia,China,2019
UniCredit,32.042,31.08,4.482,950.493,156,Financials,Regional Banks,Europe,Italy,2019
CK Hutchison,40.7,35.359,4.976,157.388,157,Industrials,Conglomerates,Asia,Hong Kong,2019
Société Générale,24.476,49.456,4.014,1496.873,157,Financials,Major Banks,Europe,France,2019
ConocoPhillips,74.582,36.372,6.257,69.98,159,Energy,Oil & Gas Operations,North America,United States,2019
United Parcel Service,98.268,71.911,4.791,50.016,159,Industrials,Air Courier,North America,United States,2019
VINCI,55.821,52.088,3.519,86.144,159,Industrials,Construction Services,Europe,France,2019
Visa,351.882,21.253,10.378,71.655,162,Financials,Consumer Financial Services,North America,United States,2019
Tokio Marine Holdings,35.777,47.65,3.137,212.136,163,Financials,Property & Casualty Insurance,Asia,Japan,2019
Bayer,64.127,46.702,2,150.254,164,Materials,Diversified Chemicals,Europe,Germany,2019
PTT PCL,43.75,72.266,3.667,74.831,165,Energy,Oil & Gas Operations,Asia,Thailand,2019
Manulife,36.187,28.403,3.703,517.805,166,Financials,Life & Health Insurance,North America,Canada,2019
AbbVie,114.662,32.753,5.657,59.352,167,Health Care,Pharmaceuticals,North America,United States,2019
China Telecom,42.503,57.139,3.244,96.623,168,Telecommunication Services,Telecommunications services,Asia,China,2019
Phillips 66,43.354,111.269,5.589,54.302,169,Energy,Oil & Gas Operations,North America,United States,2019
KDDI,52.502,45.757,5.322,65.232,170,Telecommunication Services,Telecommunications services,Asia,Japan,2019
Fiat Chrysler Automobiles,25.552,133.416,4.257,110.74,171,Consumer Discretionary,Auto & Truck Manufacturers,Europe,United Kingdom,2019
Marathon Petroleum,40.231,96.136,2.779,92.94,171,Energy,Oil & Gas Operations,North America,United States,2019
