Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Year
Costco Wholesale,108.127,147.237,3.449,42.799,173,Consumer Discretionary,Discount Stores,North America,United States,2019
Enbridge,75.318,36.123,2.224,122.203,174,Energy,Oil Services & Equipment,North America,Canada,2019
Amgen,109.313,23.768,8.394,66.416,175,Health Care,Biotechs,North America,United States,2019
SAP,134.852,29.149,4.823,58.862,176,Information Technology,Software & Programming,Europe,Germany,2019
Bank of New York Mellon,46.353,19.538,4.022,346.132,177,Financials,Major Banks,North America,United States,2019
Broadcom,126.125,21.31,6.5,72.11,178,Information Technology,Semiconductors,North America,United States,2019
SK Hynix,47.645,36.751,14.121,57.052,179,Information Technology,Semiconductors,Asia,South Korea,2019
China Communications Construction,28.896,73.564,2.958,139.895,180,Industrials,Construction Services,Asia,China,2019
Lockheed Martin,88.875,53.762,5.046,44.876,181,Industrials,Aerospace & Defense,North America,United States,2019
Itochu,27.46,91.605,3.991,98.739,182,Industrials,Trading Companies,Asia,Japan,2019
Duke Energy,64.862,24.521,2.666,150.567,183,Utilities,Electric Utilities,North America,United States,2019
FedEx,51.633,69.2,3.63,54.464,184,Industrials,Air Courier,North America,United States,2019
Royal Bank of Scotland,41.272,22.209,2.789,884.178,185,Financials,Major Banks,Europe,United Kingdom,2019
Orange,43.622,48.819,2.305,112.292,186,Telecommunication Services,Telecommunications services,Europe,France,2019
Barclays,37.984,28.183,2.129,1443.349,187,Financials,Major Banks,Europe,United Kingdom,2019
Union Pacific,125.62,22.832,5.966,59.648,188,Industrials,Railroads,North America,United States,2019
América Móvil,52.35,53.065,2.522,72.572,189,Telecommunication Services,Telecommunications services,North America,Mexico,2019
Canadian Imperial Bank,36.839,20.151,3.929,468.017,190,Financials,Major Banks,North America,Canada,2019
Credit Suisse Group,34.414,34.051,2.102,779.992,191,Financials,Major Banks,Europe,Switzerland,2019
Synchrony Financial,23.06,,3.257,105.384,191,Financials,Consumer Financial Services,North America,United States,2019
NextEra Energy,90.683,16.317,6.652,103.702,193,Utilities,Electric Utilities,North America,United States,2019
Deere & Company,53.841,38.439,3.401,69.918,194,Industrials,Heavy Equipment,North America,United States,2019
ArcelorMittal,23.977,75.963,5.137,91.249,195,Materials,Iron & Steel,Europe,Luxembourg,2019
Mitsui,27.651,56.609,3.547,107.797,196,Industrials,Trading Companies,Asia,Japan,2019
Abbott Laboratories,129.838,30.723,2.609,67.173,197,,,North America,United States,2019
China Railway Group,24.32,110.536,2.613,137.302,198,Industrials,Construction Services,Asia,China,2019
Gilead Sciences,80.255,22.214,5.455,63.675,199,Health Care,Biotechs,North America,United States,2019
China Railway Construction,22.805,109.102,2.703,133.66,200,Industrials,Construction Services,Asia,China,2019
L'Oréal,153.01,31.779,4.596,43.963,201,Consumer Staples,Household/Personal Care,Europe,France,2019
Exelon,47.67,36.444,2.009,119.666,202,Utilities,Electric Utilities,North America,United States,2019
Delta Air Lines,38.101,44.94,4.086,61.841,203,Industrials,Airline,North America,United States,2019
Renault,20.873,67.74,3.896,131.458,204,Consumer Discretionary,Auto & Truck Manufacturers,Europe,France,2019
Charter Communications,80.848,43.634,1.23,149.072,205,Consumer Discretionary,Broadcasting & Cable,North America,United States,2019
Micron Technology,48.03,29.985,13.06,47.487,206,Information Technology,Semiconductors,North America,United States,2019
Qatar National Bank,46.42,16.092,3.825,242.264,207,Financials,Regional Banks,Asia,Qatar,2019
Deutsche Post,43.104,72.614,2.448,59.958,208,Industrials,Air Courier,Europe,Germany,2019
HDFC Bank,89.939,15.745,2.871,169.151,209,Financials,Regional Banks,Asia,India,2019
Altria Group,101.809,19.627,6.955,55.638,210,Consumer Staples,Tobacco,North America,United States,2019
Valero Energy,36.767,117.033,3.122,50.699,211,Energy,Oil & Gas Operations,North America,United States,2019
Philip Morris International,131.45,29.453,7.692,38.042,212,Consumer Staples,Tobacco,North America,United States,2019
DBS,51.561,13.638,4.133,404.192,213,Financials,Regional Banks,Asia,Singapore,2019
BlackRock,72.333,14.089,4.269,159.573,214,Financials,Investment Services,North America,United States,2019
Southern Company,54.082,23.615,2.242,116.914,215,Utilities,Electric Utilities,North America,United States,2019
3M,126.052,32.765,5.349,36.5,216,Industrials,Conglomerates,North America,United States,2019
Schlumberger,63.145,32.816,2.137,70.507,217,Energy,Oil Services & Equipment,North America,United States,2019
Peugeot,24.945,87.333,3.335,70.82,218,Consumer Discretionary,Auto & Truck Manufacturers,Europe,France,2019
Linde,98.302,14.9,4.381,93.386,219,Materials,Diversified Chemicals,Europe,United Kingdom,2019
Oil & Natural Gas,29.647,49.917,3.429,70.565,220,Energy,Oil & Gas Operations,Asia,India,2019
Dai-ichi Life Insurance,16.918,59.07,2.857,509.385,221,Financials,Life & Health Insurance,Asia,Japan,2019
Thermo Fisher Scientific,103.903,24.358,2.938,56.232,222,,Precision Healthcare Equipment,North America,United States,2019
Aflac,36.634,22.185,2.919,145.597,223,Financials,Life & Health Insurance,North America,United States,2019
Allstate,32.206,39.124,2.252,113.399,223,Financials,Diversified Insurance,North America,United States,2019
Hyundai Motor,31.241,87.97,1.37,161.907,225,Consumer Discretionary,Auto & Truck Manufacturers,Asia,South Korea,2019
Travelers,36.386,30.283,2.504,105.146,226,Financials,Property & Casualty Insurance,North America,United States,2019
ENGIE,36.155,71.488,1.219,175.704,227,Utilities,Electric Utilities,Europe,France,2019
Mondelēz International,72.418,25.938,2.5,62.729,228,Consumer Staples,Food Processing,North America,United States,2019
Suncor Energy,52.557,29.736,2.541,65.587,229,Energy,Oil & Gas Operations,North America,Canada,2019
Hitachi,31.76,85.814,1.693,88.352,230,Information Technology,Electronics,Asia,Japan,2019
Nordea Bank,33.899,14.957,3.622,630.565,231,Financials,Major Banks,Europe,Sweden,2019
Aviva,21.967,37.911,2.043,533.286,232,Financials,Life & Health Insurance,Europe,United Kingdom,2019
Target,42.99,75.355,2.938,41.29,233,Consumer Discretionary,Discount Stores,North America,United States,2019
Lowe's,90.528,71.31,2.307,34.641,234,Consumer Discretionary,Home Improvement Retail,North America,United States,2019
General Dynamics,51.069,36.193,3.345,45.408,235,Industrials,Aerospace & Defense,North America,United States,2019
Repsol,25.996,58.838,2.745,69.478,236,Energy,Oil & Gas Operations,Europe,Spain,2019
AstraZeneca,99.235,23.905,2.182,60.651,237,Health Care,Pharmaceuticals,Europe,United Kingdom,2019
Eli Lilly,119.327,24.556,3.232,43.908,238,Health Care,Pharmaceuticals,North America,United States,2019
Continental,34.991,52.386,3.418,47.423,239,Consumer Discretionary,Auto & Truck Parts,Europe,Germany,2019
Charles Schwab,60.774,11.473,3.688,282.8,240,Financials,Investment Services,North America,United States,2019
National Grid,36.321,20.045,4.442,79.241,241,Utilities,Electric Utilities,Europe,United Kingdom,2019
Progressive,43.8,33.916,2.976,48.85,242,Financials,Property & Casualty Insurance,North America,United States,2019
Tesco,31.865,84.268,1.743,65.237,243,Consumer Staples,Food Retail,Europe,United Kingdom,2019
Danone,51.234,29.082,2.755,50.501,244,Consumer Staples,Food Processing,Europe,France,2019
Poly Developments & Holdings Group,24.837,26.966,2.857,123.293,245,Financials,Real Estate,Asia,China,2019
Volvo Group,32.779,44.92,2.861,53.538,246,Industrials,Heavy Equipment,Europe,Sweden,2019
HCA Healthcare,39.586,46.677,3.787,39.207,247,Health Care,Healthcare Services,North America,United States,2019
Accenture,113.923,42.541,4.472,27.39,248,Information Technology,Computer Services,Europe,Ireland,2019
Central Japan Railway,41.815,16.799,3.906,83.319,249,Industrials,Railroads,Asia,Japan,2019
East Japan Railway,34.732,27.13,2.652,74.041,250,Industrials,Railroads,Asia,Japan,2019
China Unicom,37.793,44.074,1.553,79.651,251,Telecommunication Services,Telecommunications services,Asia,Hong Kong,2019
Schneider Electric,47.553,30.343,2.754,48.308,252,Industrials,Electrical Equipment,Europe,France,2019
Midea Group,52.204,39.753,3.086,37.301,253,Consumer Discretionary,Household Appliances,Asia,China,2019
KBC Group,31.346,14.965,2.942,324.435,254,Financials,Regional Banks,Europe,Belgium,2019
McDonald's,148.813,21.025,5.924,32.811,255,Consumer Discretionary,Restaurants,North America,United States,2019
Denso,34.93,48.794,2.366,51.455,256,Consumer Discretionary,Auto & Truck Parts,Asia,Japan,2019
JXTG Holdings,16.608,101.754,3.358,80.926,257,Energy,Oil & Gas Operations,Asia,Japan,2019
Fresenius,30.561,39.557,2.391,64.82,258,Health Care,Medical Equipment & Supplies,Europe,Germany,2019
BB&T,37.695,13.237,3.241,227.683,259,Financials,Major Banks,North America,United States,2019
Gree Electric Appliances,53.383,28.493,4.29,35.974,260,Consumer Discretionary,Household Appliances,Asia,China,2019
Anglo American,35.852,27.61,3.577,52.196,261,Materials,Diversified Metals & Mining,Europe,United Kingdom,2019
Møller-Maersk,28.118,39.049,3.064,56.636,262,Industrials,Other Transportation,Europe,Denmark,2019
E.ON,23.952,35.057,3.802,64.604,263,Utilities,Electric Utilities,Europe,Germany,2019
MS&AD Insurance,18.02,46.23,2.096,206.562,263,Financials,Property & Casualty Insurance,Asia,Japan,2019
Huaxia Bank,20.08,19.993,3.074,379.762,265,Financials,Major Banks,Asia,China,2019
Bristol-Myers Squibb,74.378,22.561,4.952,34.986,266,Health Care,Pharmaceuticals,North America,United States,2019
China Resources Land,29.861,18.444,3.632,95.51,267,Financials,Real Estate,Asia,Hong Kong,2019
Air Liquide,56.934,24.788,2.493,47.99,268,Materials,Specialized Chemicals,Europe,France,2019
EDF,43.371,81.374,0.7,323.705,269,Utilities,Electric Utilities,Europe,France,2019
Baoshan Iron & Steel,25.648,39.95,3.555,50.849,270,Materials,Iron & Steel,Asia,China,2019
Danaher,90.729,20.078,2.418,47.833,271,Industrials,Conglomerates,North America,United States,2019
Legal & General Group,22.582,17.482,2.436,621.237,271,Financials,Life & Health Insurance,Europe,United Kingdom,2019
EXOR,15.884,169.051,1.589,190.077,273,Financials,Investment Services,Europe,Netherlands,2019
Sun Life Financial,24.453,23.44,2.018,195.992,273,Financials,Life & Health Insurance,North America,Canada,2019
BT Group,29.633,31.467,2.693,59.982,275,Telecommunication Services,Telecommunications services,Europe,United Kingdom,2019
KB Financial Group,15.916,27.421,2.782,431.212,276,Financials,Regional Banks,Asia,South Korea,2019
Northrop Grumman,47.786,30.095,3.229,37.653,277,Industrials,Aerospace & Defense,North America,United States,2019
Seven & I Holdings,30.336,61.47,1.837,52.06,278,Consumer Staples,Food Retail,Asia,Japan,2019
HP,31.467,58.661,4.192,32.49,279,Information Technology,Computer Hardware,North America,United States,2019
Nike,224.313,38.703,4.177,22.921,280,Consumer Discretionary,Apparel/Accessories,North America,United States,2019
