Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Year
ICBC,311.014,165.338,43.6694,4210.927,1,Financials,Major Banks,Asia,China,2018
China Construction Bank,261.166,143.202,37.2031,3631.583,2,Financials,Major Banks,Asia,China,2018
JPMorgan Chase,387.668,118.18,26.496,2609.785,3,Financials,Major Banks,North America,United States,2018
Berkshire Hathaway,491.888,235.165,39.742,702.651,4,Financials,Investment Services,North America,United States,2018
Agricultural Bank of China,184.125,129.345,29.6387,3439.314,5,Financials,Regional Banks,Asia,China,2018
Bank of America,313.51,102.978,20.294,2328.478,6,Financials,Major Banks,North America,United States,2018
Wells Fargo,265.328,102.063,21.693,1915.388,7,Financials,Major Banks,North America,United States,2018
Apple,926.946,247.535,53.318,367.502,8,Information Technology,Computer Hardware,North America,United States,2018
Bank of China,158.628,118.15,26.3535,3204.207,9,Financials,Major Banks,Asia,China,2018
Ping An Insurance Group,181.411,141.623,13.8884,1066.373,10,Financials,Diversified Insurance,Asia,China,2018
Royal Dutch Shell,306.459,321.766,15.159,410.719,11,Energy,Oil & Gas Operations,Europe,Netherlands,2018
Toyota Motor,200.682,265.165,22.5022,473.044,12,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,2018
ExxonMobil,344.126,230.055,20.35,348.826,13,Energy,Oil & Gas Operations,North America,United States,2018
Samsung Electronics,325.865,224.644,40.9941,293.154,14,Information Technology,Semiconductors,Asia,South Korea,2018
AT&T,198.293,159.219,30.643,446.343,15,Telecommunication Services,Telecommunications services,North America,United States,2018
Volkswagen Group,101.428,271.951,13.1235,531.393,16,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,2018
HSBC Holdings,200.293,63.169,10.7503,2652.123,17,Financials,Major Banks,Europe,United Kingdom,2018
Verizon Communications,200.893,127.992,31.196,264.516,18,Telecommunication Services,Telecommunications services,North America,United States,2018
BNP Paribas,93.581,117.774,8.5012,2353.87,19,Financials,Major Banks,Europe,France,2018
Microsoft,750.649,103.313,14.211,245.497,20,Information Technology,Software & Programming,North America,United States,2018
Chevron,248.119,139.397,10.151,256.442,21,Energy,Oil & Gas Operations,North America,United States,2018
Allianz,100.405,122.549,7.6733,1128.585,22,Financials,Diversified Insurance,Europe,Germany,2018
Alphabet,766.35,117.884,16.637,206.935,23,Information Technology,Computer Services,North America,United States,2018
Walmart,246.178,500.343,9.862,204.522,24,Consumer Discretionary,Discount Stores,North America,United States,2018
China Mobile,192.632,109.493,16.882,233.74,25,Telecommunication Services,Telecommunications services,Asia,Hong Kong,2018
Total,168.012,155.776,8.3911,257.022,26,Energy,Oil & Gas Operations,Europe,France,2018
Sinopec,138.569,326.585,8.0357,249.937,27,Energy,Oil & Gas Operations,Asia,China,2018
UnitedHealth Group,228.983,207.624,11.222,155.569,28,Health Care,Managed Health Care,North America,United States,2018
