Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Year
Daimler,85.678,193.217,11.7936,323.196,29,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,2018
PetroChina,220.199,282.393,4.138,381.121,30,Energy,Oil & Gas Operations,Asia,China,2018
Banco Santander,106.323,56.068,7.9536,1769.144,31,Financials,Major Banks,Europe,Spain,2018
China Merchants Bank,112.449,49.936,11.0236,993.732,32,Financials,Regional Banks,Asia,China,2018
AXA Group,64.058,149.895,6.745,1029.142,33,Financials,Diversified Insurance,Europe,France,2018
Comcast,146.792,86.854,23.266,190.876,34,Consumer Discretionary,Broadcasting & Cable,North America,United States,2018
China Life Insurance,104.055,97.129,5.967,474.155,35,Financials,Life & Health Insurance,Asia,China,2018
BP,152.567,251.939,4.319,275.287,36,Energy,Oil & Gas Operations,Europe,United Kingdom,2018
Mitsubishi UFJ Financial,86.166,51.76,8.9441,2774.219,37,Financials,Major Banks,Asia,Japan,2018
Bank of Communications,66.642,59.05,10.729,1472.867,38,Financials,Major Banks,Asia,China,2018
Softbank,84.919,82.636,9.1766,293.187,39,Telecommunication Services,Telecommunications services,Asia,Japan,2018
BMW Group,72.348,114.435,10.2394,241.324,40,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,2018
Anheuser-Busch InBev,184.307,56.361,7.9078,248.635,41,Consumer Staples,Beverages,Europe,Belgium,2018
Royal Bank of Canada,113.418,40.491,8.8372,1040.286,42,Financials,Major Banks,North America,Canada,2018
Gazprom,57.835,112.226,12.2459,316.803,43,Energy,Oil & Gas Operations,Asia,Russia,2018
Pfizer,207.66,52.673,21.748,164.612,44,Health Care,Pharmaceuticals,North America,United States,2018
Itaú Unibanco Holding,87.033,62.31,7.548,437.6,45,Financials,Regional Banks,South America,Brazil,2018
Nippon Telegraph & Tel,96.119,104.808,7.7407,191.106,46,Telecommunication Services,Telecommunications services,Asia,Japan,2018
Sberbank,86.311,46.326,13.4486,470.933,47,Financials,Regional Banks,Asia,Russia,2018
Nestle,237.278,91.227,7.2979,133.792,48,Consumer Staples,Food Processing,Europe,Switzerland,2018
Intel,254.762,64.031,11.091,128.596,49,Information Technology,Semiconductors,North America,United States,2018
Morgan Stanley,97.718,45.587,6.892,858.495,50,Financials,Investment Services,North America,United States,2018
Siemens,112.503,94.469,7.1398,163.376,51,Industrials,Conglomerates,Europe,Germany,2018
Boeing,199.511,95.798,9.216,113.549,52,Industrials,Aerospace & Defense,North America,United States,2018
Amazon.com,777.775,193.194,3.938,126.362,53,Consumer Discretionary,Internet & Catalog Retail,North America,United States,2018
TD Bank Group,107.762,35.741,7.9182,1028.093,54,Financials,Major Banks,North America,Canada,2018
Procter & Gamble,184.496,66.408,10.074,124.369,55,Consumer Staples,Household/Personal Care,North America,United States,2018
ING Group,62.21,56.579,5.5325,1016.136,56,Financials,Major Banks,Europe,Netherlands,2018
Postal Savings Bank Of China,55.33,56.103,7.6336,1466.597,56,Financials,Major Banks,Asia,China,2018
Honda Motor,58.905,138.598,9.558,181.938,58,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,2018
Sumitomo Mitsui Financial,58.292,49.131,7.2232,1847.732,59,Financials,Major Banks,Asia,Japan,2018
Goldman Sachs Group,91.755,43.69,4.863,973.535,60,Financials,Investment Services,North America,United States,2018
Intesa Sanpaolo,63.06,42.522,8.252,956.871,61,Financials,Regional Banks,Europe,Italy,2018
Industrial Bank,53.522,47.951,8.7562,1023.094,62,Financials,Major Banks,Asia,China,2018
Novartis,202.983,50.261,8.06,135.526,63,Health Care,Pharmaceuticals,Europe,Switzerland,2018
Glencore International,75.479,205.384,5.7578,135.593,64,Materials,Diversified Metals & Mining,Europe,Switzerland,2018
Banco Bradesco,61.34,76.5,4.6777,370.504,65,Financials,Regional Banks,South America,Brazil,2018
Prudential,67.756,111.476,3.0766,655.094,66,Financials,Life & Health Insurance,Europe,United Kingdom,2018
Ford Motor,44.593,159.589,7.751,267.23,67,Consumer Discretionary,Auto & Truck Manufacturers,North America,United States,2018
IBM,132.316,80.057,5.682,125.285,67,Information Technology,Computer Services,North America,United States,2018
CVS Health,65.482,185.944,6.648,135.139,69,Consumer Staples,Drug Retail,North America,United States,2018
Shanghai Pudong Development,50.739,48.301,8.1632,974.775,70,Financials,Major Banks,Asia,China,2018
Commonwealth Bank,93.505,33.038,7.6184,752.374,71,Financials,Major Banks,Australia,Australia,2018
Walt Disney,152.137,56.826,11.473,97.943,72,Consumer Discretionary,Broadcasting & Cable,North America,United States,2018
"Prudential Financial,41.95,61.127,7.763,829.677,73,Financials,Life & Health Insurance,North America,United States,New Jersey,New Jersey,""John Robert Strangfeld, Jr."",http://www.forbes.com/companies/prudential-financial/,0.00935665325180763,0.126997889639603",,,,,,,,,,2018
Rosneft,68.972,94.789,3.9088,214.222,73,Energy,Oil & Gas Operations,Asia,Russia,2018
Enel,61.566,86.675,4.6336,193.638,75,Utilities,Electric Utilities,Europe,Italy,2018
Citic Pacific,44.397,57.814,5.6336,962.064,76,Materials,Iron & Steel,Asia,Hong Kong,2018
Facebook,541.47,44.587,17.847,88.945,77,Information Technology,Computer Services,North America,United States,2018
MetLife,47.543,64.085,4.437,712.584,78,Financials,Diversified Insurance,North America,United States,2018
Deutsche Telekom,80.831,84.535,3.9027,179.078,79,Telecommunication Services,Telecommunications services,Europe,Germany,2018
SAIC Motor,63.835,136.567,5.4102,118.434,80,Consumer Discretionary,Auto & Truck Manufacturers,Asia,China,2018
Alibaba,499.404,37.87,9.6174,114.005,81,Consumer Discretionary,Internet & Catalog Retail,Asia,China,2018
BASF,95.299,75.1,7.0678,98.947,82,Materials,Diversified Chemicals,Europe,Germany,2018
Reliance Industries,93.066,60.757,5.596,125.165,83,Energy,Oil & Gas Operations,Asia,India,2018
China State Construction Engineering,40.392,162.275,5.1306,257.557,84,Industrials,Construction Services,Asia,China,2018
China Citic Bank,46.54,43.648,6.545,893.992,85,Financials,Regional Banks,Asia,China,2018
Sony,59.896,77.089,4.4283,179.272,86,Consumer Discretionary,Consumer Electronics,Asia,Japan,2018
Westpac Banking Group,76.241,29.353,6.3989,668.765,87,Financials,Major Banks,Australia,Australia,2018
Bank of Nova Scotia,74.979,28.83,6.4541,752.457,88,Financials,Major Banks,North America,Canada,2018
British American Tobacco,119.987,26.132,48.3358,190.789,88,Consumer Staples,Tobacco,Europe,United Kingdom,2018
China Minsheng Banking,43.524,42.743,7.354,954.04,90,Financials,Regional Banks,Asia,China,2018
Equinor,90.211,65.145,4.861,115.449,91,Energy,Oil & Gas Operations,Europe,Norway,2018
AIA Group,111.406,31.917,6.1205,213.21,92,Financials,Life & Health Insurance,Asia,Hong Kong,2018
Roche Holding,189.692,54.151,8.771,78.682,93,Health Care,Pharmaceuticals,Europe,Switzerland,2018
Lloyds Banking Group,65.391,33.593,4.049,1098.581,94,Financials,Major Banks,Europe,United Kingdom,2018
Eni,70.712,75.483,3.8654,143.132,95,Energy,Oil & Gas Operations,Europe,Italy,2018
Charter Communications,64.782,42.074,9.908,146.151,96,Consumer Discretionary,Broadcasting & Cable,North America,United States,2018
Nissan Motor,39.72,106.866,7.3793,173.683,97,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,2018
LukOil,60.435,99.902,7.1799,91.973,98,Energy,Oil & Gas Operations,Asia,Russia,2018
United Technologies,99.591,61.218,4.463,98.779,99,Industrials,Conglomerates,North America,United States,2018
Bayer,104.625,44.351,8.4222,92.726,100,Materials,Diversified Chemicals,Europe,Germany,2018
AIRBUS,92.149,74.672,2.9765,138.333,101,Industrials,Aerospace & Defense,Europe,Netherlands,2018
PepsiCo,138.141,64.038,4.882,81.887,102,Consumer Staples,Beverages,North America,United States,2018
Unilever,155.786,60.587,6.8274,72.39,103,Consumer Staples,Household/Personal Care,Europe,Netherlands,2018
ANZ,61.245,28.739,5.2729,717.29,104,Financials,Major Banks,Australia,Australia,2018
Hon Hai Precision,49.49,154.711,4.5602,114.496,105,Information Technology,Electronics,Asia,Taiwan,2018
Tencent Holdings,491.253,35.269,10.6055,85.177,105,Information Technology,Computer Services,Asia,China,2018
"Oracle,191.134,39.471,3.65,138.201,107,Information Technology,Software & Programming,North America,United States,California,California,""Safra A. Catz, Mark Hurd"",http://www.forbes.com/companies/oracle/,0.0264108074471241,0.0924729548275949",,,,,,,,,,2018
BHP Billiton,133.205,41.234,4.712,112.582,108,Materials,Diversified Metals & Mining,Australia,Australia,2018
US Bancorp,84.587,24.063,6.391,460.119,109,Financials,Major Banks,North America,United States,2018
Zurich Insurance Group,48.025,64.092,3.0041,401.147,110,Financials,Diversified Insurance,Europe,Switzerland,2018
Rio Tinto,99.306,40.002,8.7144,95.726,111,Materials,Diversified Metals & Mining,Europe,United Kingdom,2018
Mitsubishi,46.356,68.278,5.0542,150.794,112,Industrials,Trading Companies,Asia,Japan,2018
UniCredit Group,47.782,29.007,6.137,1004.817,113,Financials,Regional Banks,Europe,Italy,2018
Mizuho Financial,46.195,29.729,5.1242,1850.368,114,Financials,Major Banks,Asia,Japan,2018
EDF,42.957,78.54,2.9417,337.127,115,Utilities,Electric Utilities,Europe,France,2018
BBVA-Banco Bilbao Vizcaya,54.477,29.239,4.2771,843.01,116,Financials,Regional Banks,Europe,Spain,2018
Sanofi,94.905,39.54,4.276,119.871,117,Health Care,Pharmaceuticals,Europe,France,2018
Taiwan Semiconductor,203.024,33.064,11.5138,70.28,118,Information Technology,Semiconductors,Asia,Taiwan,2018
American Express,87.258,37.648,3.096,179.956,119,Financials,Consumer Financial Services,North America,United States,2018
Saudi Basic Industries,91.839,41.896,4.9785,90.518,120,Materials,Diversified Chemicals,Asia,Saudi Arabia,2018
Home Depot,219.374,100.904,8.63,44.529,121,Consumer Discretionary,Home Improvement Retail,North America,United States,2018
DowDuPont,155.33,80.578,1.661,192.441,122,Materials,Diversified Chemicals,North America,United States,2018
Telefónica,51.115,59.676,3.3995,141.157,123,Telecommunication Services,Telecommunications services,Europe,Spain,2018
Walgreens Boots Alliance,63.556,124.028,4.134,70.816,124,Consumer Staples,Drug Retail,North America,United States,2018
National Australia Bank,58.172,25.578,4.1167,610.632,125,Financials,Major Banks,Australia,Australia,2018
Kraft Heinz Company,72.224,26.172,11.099,120.787,126,Consumer Staples,Food Processing,North America,United States,2018
China Evergrande Group,41.97,46.035,3.5687,270.539,127,Financials,Real Estate,Asia,China,2018
Fiat Chrysler Automobiles,34.976,128.83,4.5225,117.608,128,Consumer Discretionary,Auto & Truck Manufacturers,Europe,United Kingdom,2018
Anthem,59.219,90.114,4.1454,73.3,129,Health Care,Managed Health Care,North America,United States,2018
Chubb,63.428,32.613,3.85,168.781,130,Financials,Property & Casualty Insurance,Europe,Switzerland,2018
China Shenhua Energy,64.62,36.431,6.709,91.177,131,Materials,Diversified Metals & Mining,Asia,China,2018
Vale,77.407,34.094,4.614,94.388,132,Materials,Iron & Steel,South America,Brazil,2018
China Vanke,43.806,36.6,4.2335,194.585,133,Financials,Real Estate,Asia,China,2018
PNC Financial Services,70.88,18.475,5.488,379.161,134,Financials,Major Banks,North America,United States,2018
Renault,30.754,66.289,5.7683,132.02,135,Consumer Discretionary,Auto & Truck Manufacturers,Europe,France,2018
Generali Group,30.846,93.132,2.3799,647.168,136,Financials,Diversified Insurance,Europe,Italy,2018
AbbVie,165.321,29.612,6.352,69.342,137,Health Care,Pharmaceuticals,North America,United States,2018
China Pacific Insurance,47.987,50.943,2.474,191.097,138,Financials,Life & Health Insurance,Asia,China,2018
Bank of Montreal,50.878,22.229,3.7427,593.315,139,Financials,Major Banks,North America,Canada,2018
Banco do Brasil,27.832,55.033,3.4488,412.771,140,Financials,Regional Banks,South America,Brazil,2018
China Everbright Bank,32.213,30.335,4.84,661.698,141,Financials,Regional Banks,Asia,China,2018
CK Hutchison,45.384,31.89,4.5041,140.746,142,Industrials,Conglomerates,Asia,Hong Kong,2018
Country Garden Holdings,45.197,33.789,3.8896,161.19,143,Financials,Real Estate,Asia,China,2018
KDDI,65.526,45.492,5.1657,61.82,144,Telecommunication Services,Telecommunications services,Asia,Japan,2018
Johnson & Johnson,341.277,78.662,1.245,156.625,145,Health Care,Medical Equipment & Supplies,North America,United States,2018
Iberdrola,49.383,37.766,3.289,138.022,146,Utilities,Electric Utilities,Europe,Spain,2018
Hyundai Motor,31.567,85.908,3.033,164.714,147,Consumer Discretionary,Auto & Truck Manufacturers,Asia,South Korea,2018
Credit Agricole,43.92,21.051,3.604,1861.58,148,Financials,Regional Banks,Europe,France,2018
Hitachi,38.516,84.53,3.2751,95.032,149,Information Technology,Electronics,Asia,Japan,2018
Christian Dior,76.442,49.252,2.5266,87.373,150,Consumer Discretionary,Apparel/Accessories,Europe,France,2018
Phillips 66,54.857,92.686,5.09,52.132,150,Energy,Oil & Gas Operations,North America,United States,2018
ArcelorMittal,36.82,68.587,4.5667,85.297,152,Materials,Iron & Steel,Europe,Luxembourg,2018
United Parcel Service,99.698,67.705,5.097,44.464,153,Industrials,Air Courier,North America,United States,2018
Medtronic,115.965,29.725,2.807,95.8,154,Health Care,Medical Equipment & Supplies,Europe,Ireland,2018
FedEx,67.044,63.864,4.459,51.851,155,Industrials,Air Courier,North America,United States,2018
PTT PCL,50.893,58.813,3.9347,68.497,156,Energy,Oil & Gas Operations,Asia,Thailand,2018
VINCI,56.769,46.105,3.0984,83.819,157,Industrials,Construction Services,Europe,France,2018
CNOOC,78.832,27.583,3.6297,94.782,158,Energy,Oil & Gas Operations,Asia,Hong Kong,2018
Capital One Financial,45.058,30.636,2.491,362.857,159,Financials,Consumer Financial Services,North America,United States,2018
Time Warner,73.389,31.532,5.453,68.997,159,Consumer Discretionary,Broadcasting & Cable,North America,United States,2018
Société Générale,38.341,27.831,2.639,1531.174,161,Financials,Major Banks,Europe,France,2018
Bank of New York Mellon,57.791,17.279,4.302,373.597,162,Financials,Major Banks,North America,United States,2018
UBS,61.802,40.34,1.4527,960.083,163,Financials,Major Banks,Europe,Switzerland,2018
Visa,295.124,19.355,9.002,69.042,164,Financials,Consumer Financial Services,North America,United States,2018
Brookfield Asset Management,38.914,47.594,2.339,195.936,165,Financials,Real Estate,North America,Canada,2018
Caterpillar,92.592,48.499,2.227,78.014,166,Industrials,Heavy Equipment,North America,United States,2018
Aetna,57.135,60.612,3.494,59.197,167,Health Care,Managed Health Care,North America,United States,2018
Royal Bank of Scotland,47.935,21.481,2.4939,1035.98,168,Financials,Major Banks,Europe,United Kingdom,2018
China Communications Construction,28.797,71.159,3.045,135.58,169,Industrials,Construction Services,Asia,China,2018
McKesson,30.788,205.442,4.798,64.213,170,Health Care,Pharmaceuticals,North America,United States,2018
Aviva,29.521,63.718,1.9279,580.591,171,Financials,Life & Health Insurance,Europe,United Kingdom,2018
Express Scripts,40.893,100.234,4.5943,53.406,172,Health Care,Healthcare Services,North America,United States,2018
Valero Energy,49.397,98.647,4.229,49.376,173,Energy,Oil & Gas Operations,North America,United States,2018
China Telecom,38.56,54.198,2.7367,101.535,174,Telecommunication Services,Telecommunications services,Asia,China,2018
Union Pacific,109.652,21.583,10.95,57.789,175,Industrials,Railroads,North America,United States,2018
Duke Energy,56.242,23.971,2.963,138.541,176,Utilities,Electric Utilities,North America,United States,2018
Jardine Matheson,44.229,39.456,3.785,82.814,177,Industrials,Conglomerates,Asia,Hong Kong,2018
Enbridge,57.192,33.584,2.2026,129.369,178,Energy,Oil Services & Equipment,North America,Canada,2018
Exelon,39.233,34.475,3.36,117.018,179,Utilities,Electric Utilities,North America,United States,2018
ENGIE,41.764,73.348,1.6051,180.519,180,Utilities,Electric Utilities,Europe,France,2018
SAP,138.862,27.389,4.9128,51.03,181,Information Technology,Software & Programming,Europe,Germany,2018
NextEra Energy,75.779,16.372,8.223,94.284,182,Utilities,Electric Utilities,North America,United States,2018
Mitsui,30.342,44.14,3.7758,106.316,183,Industrials,Trading Companies,Asia,Japan,2018
Manulife,38.499,40.086,1.6564,549.67,184,Financials,Life & Health Insurance,North America,Canada,2018
Allstate,33.877,38.003,3.469,113.289,185,Financials,Diversified Insurance,North America,United States,2018
BlackRock,86.561,13.375,5.197,216.017,185,Financials,Investment Services,North America,United States,2018
Legal & General Group,22.572,52.145,2.4353,676.61,187,Financials,Life & Health Insurance,Europe,United Kingdom,2018
China Railway Group,25.334,105.996,2.503,132.598,188,Industrials,Construction Services,Asia,China,2018
Costco Wholesale,85.903,135.964,2.96,38.703,189,Consumer Discretionary,Discount Stores,North America,United States,2018
Tokio Marine Holdings,35.929,47.641,1.8287,206.911,190,Financials,Property & Casualty Insurance,Asia,Japan,2018
Merck & Co.,160.584,40.764,1.58,86.041,191,Health Care,Pharmaceuticals,North America,United States,2018
Orange,48.252,46.354,1.816,115.707,192,Telecommunication Services,Telecommunications services,Europe,France,2018
Philip Morris International,126.223,29.57,5.985,43.07,193,Consumer Staples,Tobacco,North America,United States,2018
Dai-ichi Life Insurance,22.835,57.629,2.2027,481.971,194,Financials,Life & Health Insurance,Asia,Japan,2018
Aflac,35.016,21.812,4.729,147.356,195,Financials,Life & Health Insurance,North America,United States,2018
Canadian Imperial Bank,40.002,16.649,3.577,478.402,195,Financials,Major Banks,North America,Canada,2018
Gilead Sciences,86.025,24.783,3.464,65.381,197,Health Care,Biotechs,North America,United States,2018
Twenty-First Century Fox,70.286,29.207,4.02,53.978,198,,Diversified Media,North America,United States,2018
Nordea Bank,43.02,15.196,3.508,713.544,199,Financials,Major Banks,Europe,Sweden,2018
Broadcom,99.969,18.824,7.787,54.544,200,Information Technology,Semiconductors,North America,United States,2018
SK Hynix,56.845,29.288,10.6788,46.088,200,Information Technology,Semiconductors,Asia,South Korea,2018
HDFC Bank,77.596,15.721,2.8713,169.144,202,Financials,Regional Banks,Asia,India,2018
Suncor Energy,65.072,25.743,3.0347,70.799,202,Energy,Oil & Gas Operations,North America,Canada,2018
Continental,53.2,51.445,3.4738,47.774,204,Consumer Discretionary,Auto & Truck Parts,Europe,Germany,2018
Deutsche Post,50.75,68.177,3.0601,46.697,205,Industrials,Air Courier,Europe,Germany,2018
Itochu,28.757,49.715,3.6121,81.466,206,Industrials,Trading Companies,Asia,Japan,2018
L'Oréal Group,134.22,29.353,4.2949,42.435,207,Consumer Staples,Household/Personal Care,Europe,France,2018
Lockheed Martin,92.523,51.626,2.396,46.634,208,Industrials,Aerospace & Defense,North America,United States,2018
Coca-Cola,179.317,33.682,1.434,93.282,209,Consumer Staples,Beverages,North America,United States,2018
Honeywell International,110.068,41.434,1.767,60.948,210,Industrials,Conglomerates,North America,United States,2018
Lowe's,72.213,68.619,3.436,35.291,211,Consumer Discretionary,Home Improvement Retail,North America,United States,2018
Mondelēz International,57.867,26.247,3.19,64.503,211,Consumer Staples,Food Processing,North America,United States,2018
AstraZeneca,90.618,22.44,2.9761,63.354,213,Health Care,Pharmaceuticals,Europe,United Kingdom,2018
3M,121.802,32.25,4.137,38.575,214,Industrials,Conglomerates,North America,United States,2018
Amgen,115.811,22.965,2.219,71.164,215,Health Care,Biotechs,North America,United States,2018
Marathon Petroleum,35.717,71.577,3.436,50.364,216,Energy,Oil & Gas Operations,North America,United States,2018
Altria Group,104.455,19.575,10.701,43.899,217,Consumer Staples,Tobacco,North America,United States,2018
China Railway Construction,20.318,103.203,2.506,131.134,218,Industrials,Construction Services,Asia,China,2018
KB Financial Group,21.718,29.004,3.0688,409.235,219,Financials,Regional Banks,Asia,South Korea,2018
Cigna,42.263,42.636,2.554,63.141,220,Health Care,Managed Health Care,North America,United States,2018
Micron Technology,60.099,25.858,10.002,41.263,221,Information Technology,Semiconductors,North America,United States,2018
Denso,40.571,46.09,2.8923,54.202,222,Consumer Discretionary,Auto & Truck Parts,Asia,Japan,2018
JXTG Holdings,22.027,92.943,3.2655,79.526,223,Energy,Oil & Gas Operations,Asia,Japan,2018
Danske Bank,29.058,18.349,3.0066,583.832,224,Financials,Major Banks,Europe,Denmark,2018
Delta Air Lines,37.108,42.057,3.521,54.078,224,Industrials,Airline,North America,United States,2018
GlaxoSmithKline,98.558,39.786,1.3715,78.78,226,Health Care,Pharmaceuticals,Europe,United Kingdom,2018
People's Insurance,20.213,69.954,2.3783,147.374,227,Financials,Property & Casualty Insurance,Asia,China,2018
DBS Group,56.58,11.81,3.4182,404.108,228,Financials,Regional Banks,Asia,Singapore,2018
Posco,26.782,55.3,2.6179,75.638,228,Materials,Iron & Steel,Asia,South Korea,2018
E.ON,24.173,43.022,4.8813,67.926,230,Utilities,Electric Utilities,Europe,Germany,2018
Panasonic,34.929,72.02,2.1297,59.155,231,Consumer Discretionary,Consumer Electronics,Asia,Japan,2018
Fresenius,44.086,39.318,2.1,65.801,232,Health Care,Medical Equipment & Supplies,Europe,Germany,2018
Repsol,30.198,49.739,2.2741,71.567,233,Energy,Oil & Gas Operations,Europe,Spain,2018
Travelers,35.472,29.258,2.092,103.676,234,Financials,Property & Casualty Insurance,North America,United States,2018
East Japan Railway,37.892,26.618,2.6072,76.612,235,Industrials,Railroads,Asia,Japan,2018
Baoshan Iron & Steel,31.673,40.743,3.0788,56.219,236,Materials,Iron & Steel,Asia,China,2018
Qatar National Bank,36.355,13.818,3.6654,228.908,237,Financials,Regional Banks,Asia,Qatar,2018
Volvo Group,37.09,41.538,2.6256,53.051,238,Industrials,Heavy Equipment,Europe,Sweden,2018
Danone,48.893,27.834,2.7668,53.157,239,Consumer Staples,Food Processing,Europe,France,2018
Thermo Fisher Scientific,87.123,22.006,2.2525,56.58,240,,Precision Healthcare Equipment,North America,United States,2018
McDonald's,129.86,22.283,5.3529,33.723,241,Consumer Discretionary,Restaurants,North America,United States,2018
Target,37.649,71.879,2.934,38.999,242,Consumer Discretionary,Discount Stores,North America,United States,2018
Petrobras,92.612,90.047,0.642,247.97,243,Energy,Oil & Gas Operations,South America,Brazil,2018
KBC Group,36.003,13.791,2.8458,351.044,244,Financials,Regional Banks,Europe,Belgium,2018
Midea Group,55.671,37.837,2.744,40.143,245,Consumer Discretionary,Household Appliances,Asia,China,2018
Shire,50.304,15.348,4.434,67.869,246,Health Care,Pharmaceuticals,Europe,Ireland,2018
HP,37.276,54.173,3.853,35.245,247,Information Technology,Computer Hardware,North America,United States,2018
EXOR,18.291,161.78,1.5701,196.661,248,Financials,Investment Services,Europe,Netherlands,2018
National Grid,38.489,18.388,3.3517,77.286,249,Utilities,Electric Utilities,Europe,United Kingdom,2018
Central Japan Railway,38.7,16.44,3.5685,83.768,250,Industrials,Railroads,Asia,Japan,2018
General Dynamics,60.571,31.067,2.948,37.219,251,Industrials,Aerospace & Defense,North America,United States,2018
Canon,46.356,36.704,2.201,46.812,252,Industrials,Business Products & Supplies,Asia,Japan,2018
Sumitomo,21.991,43.555,2.7837,73.067,253,Industrials,Trading Companies,Asia,Japan,2018
Orix,23.102,25.83,2.8253,107.438,254,Financials,Consumer Financial Services,Asia,Japan,2018
BB&T,42.933,12.281,2.761,220.729,255,Financials,Major Banks,North America,United States,2018
Schneider Electric,48.385,27.908,2.4251,47.851,256,Industrials,Electrical Equipment,Europe,France,2018
Air Liquide,55.116,22.953,2.519,49.266,257,Materials,Specialized Chemicals,Europe,France,2018
Japan Tobacco,55.045,19.386,3.527,46.451,257,Consumer Staples,Tobacco,Asia,Japan,2018
Peugeot,21.43,73.553,2.1758,69.793,259,Consumer Discretionary,Auto & Truck Manufacturers,Europe,France,2018
Cathay Financial,23.05,23.562,1.8508,296.908,260,Financials,Life & Health Insurance,Asia,Taiwan,2018
Anglo American,32.007,26.2,3.1587,54.561,261,Materials,Diversified Metals & Mining,Europe,United Kingdom,2018
Bank of Beijing,22.964,15.887,2.8779,380.335,262,Financials,Major Banks,Asia,China,2018
Seven & I Holdings,38.867,54.197,1.626,51.497,263,Consumer Staples,Food Retail,Asia,Japan,2018
ABB,51.263,35.037,2.0572,43.57,264,Industrials,Conglomerates,Europe,Switzerland,2018
Sun Life Financial,25.872,21.759,1.8395,205.995,265,Financials,Life & Health Insurance,North America,Canada,2018
Oil & Natural Gas,35.72,18.73,3.0568,65.546,266,Energy,Oil & Gas Operations,Asia,India,2018
Danaher,71.122,18.819,2.5526,47.145,267,Industrials,Conglomerates,North America,United States,2018
Sun Hung Kai Properties,46.87,11.289,6.9492,86.955,267,Financials,Real Estate,Asia,Hong Kong,2018
Poly Real Estate,25.647,20.46,2.3585,120.983,269,Financials,Real Estate,Asia,China,2018
Indian Oil,24.448,52.916,2.9601,46.624,270,Energy,Oil & Gas Operations,Asia,India,2018
Deere & Company,47.7,30.537,1.4188,66.578,271,Industrials,Heavy Equipment,North America,United States,2018
Diageo,89.382,15.659,4.1288,40.72,272,Consumer Staples,Beverages,Europe,United Kingdom,2018
Charles Schwab,80.222,9.38,2.573,248.32,273,Financials,Investment Services,North America,United States,2018
Shinhan Financial Group,21.152,17.603,2.4901,406.602,273,Financials,Investment Services,Asia,South Korea,2018
