Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Year
ICBC,229.805,151.381,41.9837,3473.238,1,Financials,Major Banks,Asia,China,2017
China Construction Bank,200.458,134.242,34.9814,3016.578,2,Financials,Major Banks,Asia,China,2017
Berkshire Hathaway,409.908,222.935,24.074,620.854,3,Financials,Investment Services,North America,United States,2017
JPMorgan Chase,306.616,102.494,24.231,2512.986,4,Financials,Major Banks,North America,United States,2017
Wells Fargo,274.385,97.573,21.938,1943.443,5,Financials,Major Banks,North America,United States,2017
Agricultural Bank of China,149.229,115.698,27.7975,2816.039,6,Financials,Regional Banks,Asia,China,2017
Bank of America,231.876,92.214,16.563,2196.847,7,Financials,Major Banks,North America,United States,2017
Bank of China,141.321,113.107,24.8566,2611.539,8,Financials,Major Banks,Asia,China,2017
Apple,752.039,217.481,45.217,331.141,9,Information Technology,Computer Hardware,North America,United States,2017
Toyota Motor,171.85,249.902,17.1115,412.496,10,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,2017
AT&T,249.286,163.786,12.976,403.821,11,Telecommunication Services,Telecommunications services,North America,United States,2017
Citigroup,164.316,84.038,14.717,1795.099,12,Financials,Major Banks,North America,United States,2017
ExxonMobil,343.165,197.518,7.84,330.314,13,Energy,Oil & Gas Operations,North America,United States,2017
General Electric,261.174,119.69,10.02,365.183,14,Industrials,Conglomerates,North America,United States,2017
Samsung Electronics,254.303,173.995,19.3207,217.068,15,Information Technology,Semiconductors,Asia,South Korea,2017
Ping An Insurance Group,100.811,106.606,9.4603,801.022,16,Financials,Diversified Insurance,Asia,China,2017
Wal-Mart Stores,221.106,485.252,13.643,198.825,17,Consumer Discretionary,Discount Stores,North America,United States,2017
Verizon Communications,198.352,125.98,13.127,244.18,18,Telecommunication Services,Telecommunications services,North America,United States,2017
Microsoft,507.544,85.27,16.768,224.61,19,Information Technology,Software & Programming,North America,United States,2017
Royal Dutch Shell,228.793,234.751,4.6507,411.275,20,Energy,Oil & Gas Operations,Europe,Netherlands,2017
Allianz,83.721,115.725,7.614,935.871,21,Financials,Diversified Insurance,Europe,Germany,2017
China Mobile,225.308,106.763,16.4234,218.864,21,Telecommunication Services,Telecommunications services,Asia,Hong Kong,2017
BNP Paribas,80.499,74.702,8.3706,2190.672,23,Financials,Major Banks,Europe,France,2017
Alphabet,579.499,89.92,19.478,167.497,24,Information Technology,Computer Services,North America,United States,2017
China Petroleum & Chemical,105.122,255.722,6.9866,216.711,25,Energy,Oil & Gas Operations,Asia,China,2017
Total,128.122,128.067,6.1561,230.978,26,Energy,Oil & Gas Operations,Europe,France,2017
AXA Group,60.77,132.153,6.1527,925.854,27,Financials,Diversified Insurance,Europe,France,2017
Daimler,76.099,169.537,9.4314,256.292,28,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,2017
Volkswagen Group,72.941,240.34,5.6903,458.742,28,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,2017
Mitsubishi UFJ Financial,83.858,49.173,8.1545,2589.758,30,Financials,Major Banks,Asia,Japan,2017
Comcast,193.528,80.403,8.695,180.5,31,Consumer Discretionary,Broadcasting & Cable,North America,United States,2017
Johnson & Johnson,338.644,71.937,16.375,141.208,32,Health Care,Medical Equipment & Supplies,North America,United States,2017
Banco Santander,89.409,48.336,6.8628,1412.442,33,Financials,Major Banks,Europe,Spain,2017
Bank of Communications,62.164,52.995,10.141,1209.176,34,Financials,Major Banks,Asia,China,2017
Nestle,229.485,90.816,8.6594,129.779,34,Consumer Staples,Food Processing,Europe,Switzerland,2017
UnitedHealth Group,160.185,184.871,7.237,125.037,36,Health Care,Managed Health Care,North America,United States,2017
Nippon Telegraph & Tel,92.23,104.972,7.3846,180.257,37,Telecommunication Services,Telecommunications services,Asia,Japan,2017
Itaú Unibanco Holding,79.208,61.283,6.6736,419.923,38,Financials,Regional Banks,South America,Brazil,2017
Softbank,78.632,82.136,8.307,213.204,38,Telecommunication Services,Telecommunications services,Asia,Japan,2017
Gazprom,51.815,91.353,12.1412,265.393,40,Energy,Oil & Gas Operations,Asia,Russia,2017
General Motors,50.792,166.38,9.427,221.69,40,Consumer Discretionary,Auto & Truck Manufacturers,North America,United States,2017
China Merchants Bank,66.376,44.491,9.3814,855.07,42,Financials,Regional Banks,Asia,China,2017
IBM,162.365,79.918,11.872,117.47,43,Information Technology,Computer Services,North America,United States,2017
Royal Bank of Canada,107.205,35.285,8.3485,891.096,44,Financials,Major Banks,North America,Canada,2017
Japan Post Holdings,55.145,123.728,3.1245,2522.131,45,Financials,Life & Health Insurance,Asia,Japan,2017
Procter & Gamble,228.115,65.231,9.533,117.033,46,Consumer Staples,Household/Personal Care,North America,United States,2017
Pfizer,203.07,52.824,7.131,171.615,47,Health Care,Pharmaceuticals,North America,United States,2017
HSBC Holdings,162.638,62.087,2.479,2374.986,48,Financials,Major Banks,Europe,United Kingdom,2017
Goldman Sachs Group,90.648,36.854,7.398,860.165,49,Financials,Investment Services,North America,United States,2017
Siemens,109.773,88.354,6.4469,133.141,50,Industrials,Conglomerates,Europe,Germany,2017
BMW Group,57.732,104.163,7.5918,210.341,51,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,2017
China Life Insurance,98.104,82.836,2.8798,388.746,52,Financials,Life & Health Insurance,Asia,China,2017
ING Group,57.932,53.581,5.1173,891.349,53,Financials,Major Banks,Europe,Netherlands,2017
Intel,170.35,59.387,10.316,113.327,54,Information Technology,Semiconductors,North America,United States,2017
Postal Savings Bank Of China,55.157,48.036,6.0097,1189.391,55,Financials,Major Banks,Asia,China,2017
Sberbank,63.903,43.044,8.0677,415.579,56,Financials,Regional Banks,Asia,Russia,2017
TD Bank Group,92.001,31.874,6.9338,910.361,56,Financials,Major Banks,North America,Canada,2017
Cisco Systems,165.059,48.57,9.832,126.248,58,Information Technology,Communications Equipment,North America,United States,2017
Commonwealth Bank,109.902,30.93,7.0652,703.622,58,Financials,Major Banks,Australia,Australia,2017
Morgan Stanley,78.286,37.913,5.975,815.992,60,Financials,Investment Services,North America,United States,2017
Novartis,193.163,48.52,6.6996,130.387,61,Health Care,Pharmaceuticals,Europe,Switzerland,2017
Banco Bradesco,53.511,70.15,4.3271,362.432,62,Financials,Regional Banks,South America,Brazil,2017
Industrial Bank,45.126,44.297,8.1064,872.1,63,Financials,Major Banks,Asia,China,2017
Ford Motor,44.718,151.8,4.596,237.951,64,Consumer Discretionary,Auto & Truck Manufacturers,North America,United States,2017
Shanghai Pudong Development,50.451,40.06,7.9926,842.832,64,Financials,Major Banks,Asia,China,2017
CVS Health,79.839,177.526,5.291,94.462,66,Consumer Staples,Drug Retail,North America,United States,2017
Walt Disney,178.017,54.943,8.99,91.576,67,Consumer Discretionary,Broadcasting & Cable,North America,United States,2017
Prudential,53.669,96.936,2.592,568.951,68,Financials,Life & Health Insurance,Europe,United Kingdom,2017
Prudential Financial,45.559,56.333,4.318,783.962,69,Financials,Life & Health Insurance,North America,United States,2017
Oracle,182.239,37.429,8.917,125.382,70,Information Technology,Software & Programming,North America,United States,2017
China State Construction Engineering,43.181,140.824,4.8643,201.364,71,Industrials,Construction Services,Asia,China,2017
Citic Pacific,41.408,49.059,5.5548,933.555,72,Materials,Iron & Steel,Asia,Hong Kong,2017
Boeing,108.756,94.571,4.89,89.997,73,Industrials,Aerospace & Defense,North America,United States,2017
Honda Motor,51.382,127.865,3.9313,161.802,74,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,2017
China Minsheng Banking,43.653,40.151,7.2263,848.682,75,Financials,Regional Banks,Asia,China,2017
Westpac Banking Group,86.067,27.764,5.4759,642.677,76,Financials,Major Banks,Australia,Australia,2017
Deutsche Telekom,80.001,80.857,2.9591,156.615,77,Telecommunication Services,Telecommunications services,Europe,Germany,2017
China Citic Bank,43.117,39.664,6.2891,853.45,78,Financials,Regional Banks,Asia,China,2017
Roche Holding,219.267,51.338,9.7202,75.583,79,Health Care,Pharmaceuticals,Europe,Switzerland,2017
UBS,59.983,37.975,3.3558,919.974,80,Financials,Major Banks,Europe,Switzerland,2017
Bank of Nova Scotia,70.479,26.697,5.5487,680.339,81,Financials,Major Banks,North America,Canada,2017
Rosneft,62.376,74.867,2.7017,193.189,82,Energy,Oil & Gas Operations,Asia,Russia,2017
Amazon.com,427.011,135.987,2.371,86.022,83,Consumer Discretionary,Internet & Catalog Retail,North America,United States,2017
PepsiCo,159.406,62.801,6.329,74.129,84,Consumer Staples,Beverages,North America,United States,2017
Sumitomo Mitsui Financial,48.067,30.493,5.2009,1648.785,84,Financials,Major Banks,Asia,Japan,2017
Coca-Cola,182.883,41.478,6.527,87.27,86,Consumer Staples,Beverages,North America,United States,2017
United Technologies,90.583,57.383,5.044,89.706,87,Industrials,Conglomerates,North America,United States,2017
Sanofi,116.109,37.413,5.2091,110.403,88,Health Care,Pharmaceuticals,Europe,France,2017
Bayer,94.382,51.832,5.0122,90.086,89,Materials,Diversified Chemicals,Europe,Germany,2017
Mizuho Financial,44.429,28.974,6.0382,1752.33,90,Financials,Major Banks,Asia,Japan,2017
Zurich Insurance Group,40,67.317,3.2101,364.332,91,Financials,Diversified Insurance,Europe,Switzerland,2017
ANZ,68.836,26.528,4.2019,701.007,92,Financials,Major Banks,Australia,Australia,2017
BASF,90.952,63.662,4.4867,83.865,93,Materials,Diversified Chemicals,Europe,Germany,2017
Walgreens Boots Alliance,88.995,116.081,4.247,72.505,94,Consumer Staples,Drug Retail,North America,United States,2017
Nissan Motor,38.372,105.939,4.4651,157.269,95,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,2017
US Bancorp,86.608,22.006,5.87,450.954,96,Financials,Major Banks,North America,United States,2017
American Express,70.092,34.001,5.365,158.893,97,Financials,Consumer Financial Services,North America,United States,2017
Hon Hai Precision,54.375,135.151,4.61,80.426,98,Information Technology,Electronics,Asia,Taiwan,2017
Enel,47.494,75.89,2.8429,164.115,99,Utilities,Electric Utilities,Europe,Italy,2017
Merck,173.328,39.555,3.92,95.377,100,Health Care,Pharmaceuticals,North America,United States,2017
National Australia Bank,65.024,24.181,4.3476,595.327,100,Financials,Major Banks,Australia,Australia,2017
PetroChina,204.477,214.76,1.1621,344.91,102,Energy,Oil & Gas Operations,Asia,China,2017
Unilever,143.891,58.311,5.7345,59.518,103,Consumer Staples,Household/Personal Care,Europe,Netherlands,2017
Hyundai Motor,34.221,80.719,4.66,148.068,104,Consumer Discretionary,Auto & Truck Manufacturers,Asia,South Korea,2017
BBVA-Banco Bilbao Vizcaya,49.646,27.273,3.844,771.925,105,Financials,Regional Banks,Europe,Spain,2017
Reliance Industries,71.165,41.792,4.3491,97.895,106,Energy,Oil & Gas Operations,Asia,India,2017
Charter Communications,101.619,29.003,3.522,153.237,107,Consumer Discretionary,Broadcasting & Cable,North America,United States,2017
SAIC Motor,43.491,112.725,4.818,84.989,108,Consumer Discretionary,Auto & Truck Manufacturers,Asia,China,2017
Chubb,64.031,31.944,4.135,159.786,109,Financials,Property & Casualty Insurance,Europe,Switzerland,2017
Telefónica,55.893,57.563,2.6207,130.41,110,Telecommunication Services,Telecommunications services,Europe,Spain,2017
AIA Group,77.076,26.455,4.164,183.028,111,Financials,Life & Health Insurance,Asia,Hong Kong,2017
Société Générale,39.893,27.985,4.0066,1457.875,112,Financials,Major Banks,Europe,France,2017
Dow Chemical,77.033,48.137,4.294,79.511,113,Materials,Diversified Chemicals,North America,United States,2017
Home Depot,176.728,94.595,7.957,42.966,114,Consumer Discretionary,Home Improvement Retail,North America,United States,2017
Lloyds Banking Group,55.869,23.405,2.8227,1010.506,115,Financials,Major Banks,Europe,United Kingdom,2017
Medtronic,110.017,29.361,3.969,97.578,115,Health Care,Medical Equipment & Supplies,Europe,Ireland,2017
Kraft Heinz Company,110.395,26.484,3.632,120.48,117,Consumer Staples,Food Processing,North America,United States,2017
Saudi Basic Industries,80.696,35.413,4.7561,84.464,117,Materials,Diversified Chemicals,Asia,Saudi Arabia,2017
Facebook,407.3,27.638,9.487,64.961,119,Information Technology,Computer Services,North America,United States,2017
Munich Re,30.461,68.764,2.854,286.949,120,Financials,Diversified Insurance,Europe,Germany,2017
Intesa Sanpaolo,45.265,24.813,3.4414,764.799,121,Financials,Regional Banks,Europe,Italy,2017
Barclays,45.427,29.187,2.3626,1498.999,122,Financials,Major Banks,Europe,United Kingdom,2017
Rio Tinto,72.901,33.926,4.6835,89.263,123,Materials,Diversified Metals & Mining,Europe,United Kingdom,2017
BHP Billiton,98.308,33.95,2.4336,119.535,124,Materials,Diversified Metals & Mining,Australia,Australia,2017
CK Hutchison,47.389,33.474,4.2523,130.717,125,Industrials,Conglomerates,Asia,Hong Kong,2017
Anheuser-Busch InBev,213.102,45.558,1.2467,261.139,126,Consumer Staples,Beverages,Europe,Belgium,2017
Taiwan Semiconductor,161.734,29.392,10.364,58.533,127,Information Technology,Semiconductors,Asia,Taiwan,2017
Capital One Financial,40.325,27.906,3.727,357.033,128,Financials,Consumer Financial Services,North America,United States,2017
LukOil,44.57,74.606,3.0867,83.185,129,Energy,Oil & Gas Operations,Asia,Russia,2017
Swiss Re,32.12,43.621,3.5564,207.604,130,Financials,Diversified Insurance,Europe,Switzerland,2017
Amgen,120.322,22.683,7.722,77.626,131,Health Care,Biotechs,North America,United States,2017
Banco do Brasil,29.044,57.272,2.3046,430.57,132,Financials,Regional Banks,South America,Brazil,2017
Bank of Montreal,48.552,19.703,3.8341,531.071,133,Financials,Major Banks,North America,Canada,2017
Gilead Sciences,87.036,30.317,13.501,56.977,134,Health Care,Biotechs,North America,United States,2017
China Communications Construction,38.839,64.127,2.4892,115.327,135,Industrials,Construction Services,Asia,China,2017
Honeywell International,94.594,39.302,4.742,54.146,136,Industrials,Conglomerates,North America,United States,2017
Manulife,34.377,38.918,2.2107,511.337,137,Financials,Life & Health Insurance,North America,Canada,2017
Korea Electric Power,25.493,51.88,6.0754,147.24,138,Utilities,Electric Utilities,Asia,South Korea,2017
Generali Group,23.711,90.542,2.302,553.003,139,Financials,Diversified Insurance,Europe,Italy,2017
Alibaba,264.865,21.493,5.7136,70.679,140,Consumer Discretionary,Business & Personal Services,Asia,China,2017
KDDI,68.324,43.156,5.1296,52.308,141,Telecommunication Services,Telecommunications services,Asia,Japan,2017
China Telecom,40.414,53.047,2.7339,93.873,142,Telecommunication Services,Telecommunications services,Asia,China,2017
AbbVie,104.466,25.638,5.923,66.099,143,Health Care,Pharmaceuticals,North America,United States,2017
Tokio Marine Holdings,30.563,44.613,2.7771,189.512,143,Financials,Property & Casualty Insurance,Asia,Japan,2017
Iberdrola,46.426,32.318,2.9922,112.548,145,Utilities,Electric Utilities,Europe,Spain,2017
EDF,23.26,78.765,2.51,297.06,146,Utilities,Electric Utilities,Europe,France,2017
PNC Financial Services,57.935,16.064,3.877,369.353,147,Financials,Major Banks,North America,United States,2017
Tencent Holdings,277.122,22.831,6.185,56.968,148,Information Technology,Computer Services,Asia,China,2017
Allergan,80.068,14.967,14.9734,128.986,149,Health Care,Pharmaceuticals,Europe,Ireland,2017
China Everbright Bank,26.791,26.128,4.577,578.465,149,Financials,Regional Banks,Asia,China,2017
Credit Agricole,36.512,18.645,3.542,1607.684,151,Financials,Regional Banks,Europe,France,2017
Lockheed Martin,78.319,49.919,3.753,47.806,152,Industrials,Aerospace & Defense,North America,United States,2017
Time Warner,76.241,29.318,3.916,65.966,153,Consumer Discretionary,Broadcasting & Cable,North America,United States,2017
Duke Energy,57.55,22.743,2.666,132.761,154,Utilities,Electric Utilities,North America,United States,2017
Anthem,44.046,85.197,2.4698,65.083,155,Health Care,Managed Health Care,North America,United States,2017
Vale,45.403,27.148,3.8186,99.148,156,Materials,Iron & Steel,South America,Brazil,2017
Nordea Bank,45.411,15.068,4.1712,649.58,157,Financials,Major Banks,Europe,Sweden,2017
Express Scripts,39.927,100.488,3.4044,51.745,158,Health Care,Healthcare Services,North America,United States,2017
United Parcel Service,91.344,60.502,3.431,40.377,159,Industrials,Air Courier,North America,United States,2017
Aetna,45.144,63.164,2.2603,69.146,160,Health Care,Managed Health Care,North America,United States,2017
China Shenhua Energy,54.095,26.455,3.416,82.26,161,Materials,Diversified Metals & Mining,Asia,China,2017
VINCI,43.568,42.641,2.771,72.857,162,Industrials,Construction Services,Europe,France,2017
Bank of New York Mellon,48.83,15.618,3.495,333.469,163,Financials,Major Banks,North America,United States,2017
Renault,24.586,56.685,3.7821,107.693,164,Consumer Discretionary,Auto & Truck Manufacturers,Europe,France,2017
China Railway Group,29.633,95.353,1.8806,108.602,165,Industrials,Construction Services,Asia,China,2017
AIRBUS,59.472,73.652,1.1007,126.173,166,Industrials,Aerospace & Defense,Europe,France,2017
China Railway Construction,26.469,93.213,2.0993,109.266,167,Industrials,Construction Services,Asia,China,2017
China Vanke,30.546,33.735,3.1221,119.53,167,Financials,Real Estate,Asia,China,2017
Jardine Matheson,47.648,37.051,2.503,71.523,169,Industrials,Conglomerates,Asia,Hong Kong,2017
Qualcomm,83.187,23.778,4.889,52.366,170,Information Technology,Semiconductors,North America,United States,2017
Hewlett Packard Enterprise,30.433,48.764,3.161,76.662,171,Information Technology,Computer Hardware,North America,United States,2017
British American Tobacco,123.765,19.904,6.2715,49.146,172,Consumer Staples,Tobacco,Europe,United Kingdom,2017
Visa,206.396,15.978,5.99,63.37,173,Financials,Consumer Financial Services,North America,United States,2017
China Pacific Insurance,33.472,40.281,1.815,143.975,174,Financials,Life & Health Insurance,Asia,China,2017
MetLife,57.201,64.69,0.8,905.164,174,Financials,Diversified Insurance,North America,United States,2017
AstraZeneca,75.178,22.969,3.6514,62.526,176,Health Care,Pharmaceuticals,Europe,United Kingdom,2017
Altria Group,138.81,19.337,14.215,45.932,177,Consumer Staples,Tobacco,North America,United States,2017
SAP,119.722,24.406,4.0166,46.701,178,Information Technology,Software & Programming,Europe,Germany,2017
Costco Wholesale,74.892,121.194,2.384,35.63,179,Consumer Discretionary,Discount Stores,North America,United States,2017
Travelers,33.58,27.654,2.992,101.741,179,Financials,Property & Casualty Insurance,North America,United States,2017
Philip Morris International,176.221,26.714,6.947,36.851,181,Consumer Staples,Tobacco,North America,United States,2017
Union Pacific,86.811,19.941,4.233,56.755,182,Industrials,Railroads,North America,United States,2017
Delta Air Lines,33.009,39.605,4.373,58.899,183,Industrials,Airline,North America,United States,2017
Southern Company,49.287,19.869,2.494,109.697,184,Utilities,Electric Utilities,North America,United States,2017
Lowe's,71.133,65.017,3.061,34.408,185,Consumer Discretionary,Home Improvement Retail,North America,United States,2017
National Grid,47.978,21.946,2.9064,81.741,185,Utilities,Electric Utilities,Europe,United Kingdom,2017
Legal & General Group,18.176,105.456,1.6974,571.193,187,Financials,Life & Health Insurance,Europe,United Kingdom,2017
McKesson,30.517,196.498,2.03,57.874,188,Health Care,Pharmaceuticals,North America,United States,2017
Christian Dior,42.741,43.696,1.9513,68.331,189,Consumer Discretionary,Apparel/Accessories,Europe,France,2017
PTT PCL,32.363,48.735,2.6461,63.364,190,Energy,Oil & Gas Operations,Asia,Thailand,2017
Dai-ichi Life Insurance,19.869,55.691,1.7348,438.797,191,Financials,Life & Health Insurance,Asia,Japan,2017
Twenty-First Century Fox,57.505,28.062,3.085,49.207,192,,Diversified Media,North America,United States,2017
Canadian Imperial Bank,34.489,14.569,3.569,393.706,193,Financials,Major Banks,North America,Canada,2017
FedEx,52.312,57.57,1.905,46.781,194,Industrials,Air Courier,North America,United States,2017
GlaxoSmithKline,99.751,37.631,1.2306,73.003,194,Health Care,Pharmaceuticals,Europe,United Kingdom,2017
Deutsche Post,40.953,63.423,2.9193,40.636,196,Industrials,Air Courier,Europe,Germany,2017
3M,113.537,30.109,5.05,32.906,197,Industrials,Conglomerates,North America,United States,2017
L'Oréal Group,107.454,28.581,3.4356,37.581,198,Consumer Staples,Household/Personal Care,Europe,France,2017
Aflac,29.246,22.69,2.659,129.819,199,Financials,Life & Health Insurance,North America,United States,2017
Allstate,29.616,36.276,1.877,110.374,200,Financials,Diversified Insurance,North America,United States,2017
Hitachi,25.556,85.804,1.7528,82.653,201,Information Technology,Electronics,Asia,Japan,2017
Brookfield Asset Management,35.355,24.872,1.6407,159.826,202,Financials,Real Estate,North America,Canada,2017
BT Group,38.516,31.668,3.0818,53.969,203,Telecommunication Services,Telecommunications services,Europe,United Kingdom,2017
NextEra Energy,60.361,15.21,2.895,89.993,204,Utilities,Electric Utilities,North America,United States,2017
BlackRock,62.632,11.21,3.172,220.177,205,Financials,Investment Services,North America,United States,2017
Continental,42.713,44.856,3.1001,39.391,206,Consumer Discretionary,Auto & Truck Parts,Europe,Germany,2017
MS&AD Insurance,19.186,47.809,2.0292,178.271,206,Financials,Property & Casualty Insurance,Asia,Japan,2017
Aviva,25.914,74.329,0.9486,511.145,208,Financials,Life & Health Insurance,Europe,United Kingdom,2017
Cigna,39.024,39.698,1.867,60.344,209,Health Care,Managed Health Care,North America,United States,2017
Phillips 66,39.884,71.172,1.549,51.653,210,Energy,Oil & Gas Operations,North America,United States,2017
Valero Energy,29.423,75.659,2.289,46.844,211,Energy,Oil & Gas Operations,North America,United States,2017
Enbridge,69.293,26.106,1.5616,64.004,212,Energy,Oil Services & Equipment,North America,Canada,2017
Mondelēz International,67.353,25.923,1.616,61.538,213,Consumer Staples,Food Processing,North America,United States,2017
People's Insurance Company,17.472,64.599,2.148,129.668,214,Financials,Property & Casualty Insurance,Asia,China,2017
McDonald's,106.436,24.622,4.6603,31.024,215,Consumer Discretionary,Restaurants,North America,United States,2017
ArcelorMittal,25.103,56.782,1.7597,75.142,216,Materials,Iron & Steel,Europe,Luxembourg,2017
East Japan Railway,34.229,26.495,2.303,66.137,217,Industrials,Railroads,Asia,Japan,2017
Itochu,22.436,44.015,2.3907,71.99,218,Industrials,Trading Companies,Asia,Japan,2017
Japan Tobacco,66.379,19.725,3.8809,40.677,219,Consumer Staples,Tobacco,Asia,Japan,2017
EI du Pont de Nemours,69.209,24.609,2.513,39.964,220,Materials,Diversified Chemicals,North America,United States,2017
Eli Lilly,94.138,21.222,2.7376,38.806,221,Health Care,Pharmaceuticals,North America,United States,2017
Panasonic,26.194,66.561,1.9181,52.686,221,Consumer Discretionary,Consumer Electronics,Asia,Japan,2017
Sun Hung Kai Properties,43.601,13.382,4.9728,80.097,223,Financials,Real Estate,Asia,Hong Kong,2017
Fiat Chrysler Automobiles,15.549,122.808,1.9945,110.056,224,Consumer Discretionary,Auto & Truck Manufacturers,Europe,United Kingdom,2017
LafargeHolcim,35.447,27.309,1.818,68.497,225,Materials,Construction Materials,Europe,Switzerland,2017
Qatar National Bank,37.676,11.689,3.3959,197.642,225,Financials,Regional Banks,Asia,Qatar,2017
Target,29.424,69.496,2.737,37.431,227,Consumer Discretionary,Discount Stores,North America,United States,2017
Fresenius,43.886,32.172,1.7622,48.99,228,Health Care,Medical Equipment & Supplies,Europe,Germany,2017
Danaher,59.734,19.889,2.5537,45.295,229,Industrials,Conglomerates,North America,United States,2017
Danske Bank,31.925,11.658,2.852,494.169,230,Financials,Major Banks,Europe,Denmark,2017
General Dynamics,57.046,31.353,2.968,32.872,230,Industrials,Aerospace & Defense,North America,United States,2017
Reynolds American,90.618,12.503,6.073,51.095,232,Consumer Staples,Tobacco,North America,United States,2017
Denso,33.59,41.093,2.2438,43.572,233,Consumer Discretionary,Auto & Truck Parts,Asia,Japan,2017
Bristol-Myers Squibb,88.009,19.427,4.457,33.707,234,Health Care,Pharmaceuticals,North America,United States,2017
CRRC,42.602,34.156,1.6944,48.681,235,Industrials,Heavy Equipment,Asia,China,2017
ABB,49.879,33.836,1.9639,39.688,236,Industrials,Conglomerates,Europe,Switzerland,2017
Exelon,33.329,32.182,1.134,114.904,237,Utilities,Electric Utilities,North America,United States,2017
Cathay Financial,19.775,29.023,1.4765,252.186,238,Financials,Life & Health Insurance,Asia,Taiwan,2017
Sun Life Financial,21.919,19.859,1.948,188.728,239,Financials,Life & Health Insurance,North America,Canada,2017
Repsol,23.823,38.373,1.8894,68.399,240,Energy,Oil & Gas Operations,Europe,Spain,2017
Kroger,27.299,115.337,1.943,37.525,241,Consumer Staples,Food Retail,North America,United States,2017
Abbott Laboratories,75.738,20.853,1.375,55.011,242,Health Care,Pharmaceuticals,North America,United States,2017
HCA Holdings,32.58,41.49,2.89,33.758,243,Health Care,Healthcare Services,North America,United States,2017
State Bank of India,36.549,43.7,0.6666,493.344,244,Financials,Regional Banks,Asia,India,2017
DBS Group,34.424,10.28,3.0696,333.478,245,Financials,Regional Banks,Asia,Singapore,2017
Oil & Natural Gas,37.242,19.886,2.1573,57.72,246,Energy,Oil & Gas Operations,Asia,India,2017
American Airlines Group,21.079,40.181,2.676,51.274,247,Industrials,Airline,North America,United States,2017
BB&T,35.631,11.287,2.426,221.151,247,Financials,Major Banks,North America,United States,2017
Nike,91.165,33.821,4.078,23.152,249,Consumer Discretionary,Apparel/Accessories,North America,United States,2017
Schneider Electric,41.911,27.315,1.9358,44.142,250,Industrials,Electrical Equipment,Europe,France,2017
Thermo Fisher Scientific,59.899,18.274,2.0218,45.908,251,,Precision Healthcare Equipment,North America,United States,2017
Danone,41.979,24.274,1.9027,46.355,252,Consumer Staples,Food Processing,Europe,France,2017
Samsung Life Insurance,18.167,24.145,1.7706,219.069,253,Financials,Life & Health Insurance,Asia,South Korea,2017
Air Liquide,44.98,20.061,2.0382,46.533,254,Materials,Specialized Chemicals,Europe,France,2017
Huaxia Bank,17.58,15.859,2.9978,340.888,255,Financials,Major Banks,Asia,China,2017
Orix,19.75,22.848,2.4105,95.533,256,Financials,Consumer Financial Services,Asia,Japan,2017
Bank of Beijing,21.469,13.444,2.7024,306.273,257,Financials,Major Banks,Asia,China,2017
HDFC Bank,57.414,11.362,1.9553,110.288,258,Financials,Regional Banks,Asia,India,2017
KBC Group,27.641,11.279,2.6847,290.267,259,Financials,Regional Banks,Europe,Belgium,2017
Deere & Company,34.824,26.666,1.4626,56.297,260,Industrials,Heavy Equipment,North America,United States,2017
Diageo,71.167,15.247,3.1736,37.354,261,Consumer Staples,Beverages,Europe,United Kingdom,2017
Central Japan Railway,32.612,16.06,3.3885,51.031,262,Industrials,Railroads,Asia,Japan,2017
Liberty Global,31.195,20.009,1.7053,68.684,262,Consumer Discretionary,Broadcasting & Cable,Europe,United Kingdom,2017
Indian Oil,30.036,54.135,1.7136,37.278,264,Energy,Oil & Gas Operations,Asia,India,2017
Shinhan Financial Group,20.042,14.158,2.3606,327.604,265,Financials,Investment Services,Asia,South Korea,2017
Canon,41.579,31.304,1.3864,44.056,266,Industrials,Business Products & Supplies,Asia,Japan,2017
Synchrony Financial,26.886,15.122,2.251,90.207,267,Financials,Consumer Financial Services,North America,United States,2017
Saint-Gobain,28,43.245,1.4502,46.163,268,Materials,Construction Materials,Europe,France,2017
United Continental Holdings,22.3,36.556,2.263,45.427,269,Industrials,Airline,North America,United States,2017
Carnival,43.935,16.528,2.99,38.703,270,Consumer Discretionary,Hotels & Motels,North America,United States,2017
HP,29.414,48.652,2.515,28.192,271,Information Technology,Computer Hardware,North America,United States,2017
Accenture,77.761,35.702,3.8097,20.079,272,Information Technology,Computer Services,Europe,Ireland,2017
Country Garden Holdings,20.337,23.046,1.7324,85.124,273,Financials,Real Estate,Asia,Hong Kong,2017
State Street,30.089,10.635,2.141,242.698,274,Financials,Investment Services,North America,United States,2017
Volvo Group,28.575,35.263,1.5357,44.712,275,Industrials,Heavy Equipment,Europe,Sweden,2017
Inditex,112.114,25.741,3.4861,21.205,276,Consumer Discretionary,Apparel/Footwear Retail,Europe,Spain,2017
Seven & I Holdings,37.023,53.9,0.8936,49.237,277,Consumer Staples,Food Retail,Asia,Japan,2017
