Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Year
Bank of India,2.307,6.99,-0.9476,93.115,1250,Financials,Major Banks,Asia,India,2017
Check Point Software,18.043,1.741,0.7248,5.218,1251,Information Technology,Software & Programming,Asia,Israel,2017
Taiwan Cooperative Financial,5.939,1.988,0.4268,103.675,1252,Financials,Regional Banks,Asia,Taiwan,2017
Community Health Systems,1.016,18.438,-1.72,21.944,1253,Health Care,Healthcare Services,North America,United States,2017
Huntington Ingalls Industries,9.43,7.068,0.573,6.947,1253,Industrials,Aerospace & Defense,North America,United States,2017
PGE Polska Grupa Energetyczna,5.281,7.088,0.6509,16.164,1255,Utilities,Electric Utilities,Europe,Poland,2017
Sekisui Chemical,7.792,9.782,0.5165,8.084,1256,Industrials,Construction Services,Asia,Japan,2017
Brenntag,8.82,11.613,0.3986,7.817,1257,Materials,Specialized Chemicals,Europe,Germany,2017
Bombardier,3.557,16.34,-1.0142,22.826,1258,Industrials,Aerospace & Defense,North America,Canada,2017
Coty,12.738,5.4,-0.011,21.891,1259,Consumer Staples,Household/Personal Care,North America,United States,2017
Genting,7.896,4.433,0.5181,20.63,1259,Consumer Discretionary,Casinos & Gaming,Asia,Malaysia,2017
Bank Of Guiyang,5.664,1.788,0.5536,53.576,1261,Financials,Regional Banks,Asia,China,2017
PotashCorp,14.15,4.462,0.3347,17.255,1262,Materials,Specialized Chemicals,North America,Canada,2017
W&W-Wüstenrot,1.826,7.117,0.2577,75.903,1263,Financials,Investment Services,Europe,Germany,2017
Sojitz,3.073,13.91,0.3166,18.079,1264,Industrials,Trading Companies,Asia,Japan,2017
Darden Restaurants,10.3,7.026,0.4949,4.68,1265,Consumer Discretionary,Restaurants,North America,United States,2017
Sunac China Holdings,5.868,5.524,0.3674,42.188,1266,Industrials,Construction Services,Asia,China,2017
Unicharm,14.474,6.543,0.4062,6.101,1266,Consumer Staples,Household/Personal Care,Asia,Japan,2017
Ctrip.com International,25.141,2.885,-0.2235,20.781,1268,Consumer Discretionary,Business & Personal Services,Asia,China,2017
Jyske Bank,4.788,2.318,0.4596,83.226,1269,Financials,Regional Banks,Europe,Denmark,2017
China Life Insurance (Taiwan),3.397,7.55,0.2936,41.07,1270,Financials,Life & Health Insurance,Asia,Taiwan,2017
Dai Nippon Printing,7.199,13.03,0.2916,14.38,1270,Consumer Discretionary,Printing & Publishing,Asia,Japan,2017
CIT Group,8.799,4.351,-0.8609,64.17,1272,Financials,Consumer Financial Services,North America,United States,2017
IndusInd Bank,13.149,2.267,0.3492,21.175,1272,Financials,Regional Banks,Asia,India,2017
Banca MPS,,5.887,-3.5853,161.828,1274,Financials,Regional Banks,Europe,Italy,2017
Bed Bath & Beyond,5.776,12.216,0.6851,6.846,1274,Consumer Discretionary,Specialty Stores,North America,United States,2017
Bank of Chongqing,2.704,2.748,0.5294,53.688,1276,Financials,Regional Banks,Asia,China,2017
Marathon Oil,13.775,4.078,-2.14,31.094,1277,Energy,Oil & Gas Operations,North America,United States,2017
East West Bancorp,7.448,1.313,0.4317,34.848,1278,Financials,Regional Banks,North America,United States,2017
Nitori Holdings,15.075,4.738,0.5542,4.36,1279,Consumer Discretionary,Specialty Stores,Asia,Japan,2017
Yamato Holdings,8.341,13.347,0.3406,9.974,1280,Industrials,Trucking,Asia,Japan,2017
Cosco Shipping,7.856,10.669,-1.5053,17.217,1281,Industrials,Other Transportation,Asia,China,2017
