Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue
CLP Holdings,23.615,10.409,2.0213,26.317,442,Utilities,Electric Utilities,Asia,Hong Kong,Hong Kong,,Richard Lancaster,http://www.forbes.com/companies/clp-holdings/,0.0768058669301212,0.194187722163512
Syngenta,38.291,13.377,1.321,19.379,443,Materials,Specialized Chemicals,Europe,Switzerland,Switzerland,,John Ramsay,http://www.forbes.com/companies/syngenta/,0.0681665720625419,0.0987515885475069
Country Garden Holdings,9.121,18.069,1.5042,55.74,444,Financials,Real Estate,Asia,China,China,,Kwok Yeung,http://www.forbes.com/companies/country-garden-holdings/,0.0269860064585576,0.0832475510542919
The Priceline Group,66.412,9.224,2.5514,17.421,445,Consumer Discretionary,Business & Personal Services,North America,United States,Connecticut,Connecticut,Jeffery Boyd,http://www.forbes.com/companies/priceline/,0.146455427357787,0.276604509973981
GF Securities,18.832,6.726,2.1073,64.54,446,Financials,Investment Services,Asia,China,China,,Zhi Lin,http://www.forbes.com/companies/gf-securities/,0.0326510691044314,0.31330657151353
Isbank,7.829,14.572,1.8084,114.496,447,Financials,Regional Banks,Europe,Turkey,Turkey,,Adnan Bali,http://www.forbes.com/companies/isbank/,0.0157944382336501,0.124101015646445
Deutsche Bank,26.385,48.312,-7.5329,1779.716,448,Financials,Major Banks,Europe,Germany,Germany,,John Cryan,http://www.forbes.com/companies/deutsche-bank/,-0.00423264161248199,-0.155921924159629
Sampo,25.437,7.423,1.8364,38.465,449,Financials,Diversified Insurance,Europe,Finland,Finland,,Kari Stadigh,http://www.forbes.com/companies/sampo/,0.047742103210711,0.247393237235619
Royal Bank of Scotland,42.437,25.814,-2.4032,1201.83,450,Financials,Major Banks,Europe,United Kingdom,United Kingdom,,Ross Mcewan,http://www.forbes.com/companies/royal-bank-of-scotland/,-0.00199961725035987,-0.0930967691950105
Koç Holding,13.522,25.479,1.3081,25.059,451,Industrials,Conglomerates,Europe,Turkey,Turkey,,Levent Çakiroglu,http://www.forbes.com/companies/koc-holding/,0.0522008060976096,0.0513403194787865
British Sky Broadcasting,23.858,17.425,0.9595,24.001,452,Consumer Discretionary,Broadcasting & Cable,Europe,United Kingdom,United Kingdom,,Jeremy Darroch,http://www.forbes.com/companies/british-sky-broadcasting/,0.0399775009374609,0.05506456241033
Bharti Airtel,21.214,14.739,0.8491,32.97,453,Telecommunication Services,Telecommunications services,Asia,India,India,,Gopal Vittal,http://www.forbes.com/companies/bharti-airtel/,0.0257537154989384,0.0576090643870005
Pernod Ricard,28.667,9.864,1.0635,33.995,454,Consumer Staples,Beverages,Europe,France,France,,Alexandre Ricard,http://www.forbes.com/companies/pernod-ricard/,0.031284012354758,0.107816301703163
BHP Billiton,80.324,30.463,-6.0807,118.669,455,Materials,Diversified Metals & Mining,Australia,Australia,Australia,,Andrew Mackenzie,http://www.forbes.com/companies/bhp-billiton/,-0.0512408463878519,-0.199609362177067
Fifth Third Bancorp,14.594,6.815,1.667,142.43,456,Financials,Regional Banks,North America,United States,Ohio,Ohio,Gregory Carmichael,http://www.forbes.com/companies/fifth-third-bancorp/,0.0117039949448852,0.244607483492296
Marsh & McLennan,32.423,12.931,1.602,18.216,457,Financials,Insurance Brokers,North America,United States,New York,New York,Daniel Glaser,http://www.forbes.com/companies/marsh-mclennan/,0.0879446640316206,0.123888330368881
PPG,30.194,15.33,1.406,17.076,458,Materials,Diversified Chemicals,North America,United States,Pennsylvania,Pennsylvania,Michael McGarry,http://www.forbes.com/companies/ppg/,0.0823377840243617,0.0917155903457273
H&M,60.841,21.725,2.3378,10.285,459,Consumer Discretionary,Apparel/Footwear Retail,Europe,Sweden,Sweden,,Karl-Johan Persson,http://www.forbes.com/companies/hm/,0.227301895964998,0.107608745684695
Illinois Tool Works,37.767,13.337,1.909,15.437,460,Industrials,Other Industrial Equipment,North America,United States,Illinois,Illinois,Ernest Santi,http://www.forbes.com/companies/illinois-tool-works/,0.12366392433763,0.143135637699633
Credit Suisse Group,30.28,34.844,-3.0751,819.985,461,Financials,Investment Services,Europe,Switzerland,Switzerland,,Tidjane Thiam,http://www.forbes.com/companies/credit-suisse-group/,-0.0037501905522662,-0.0882533578234416
Bank Mandiri,17.636,7.512,1.5178,66.018,462,Financials,Regional Banks,Asia,Indonesia,Indonesia,,Kartika Wirjoatmodjo,http://www.forbes.com/companies/bank-mandiri/,0.0229906995061953,0.202050053248136
Sasol,20.87,13.294,1.368,24.409,463,Materials,Diversified Chemicals,Africa,South Africa,South Africa,,David Constable,http://www.forbes.com/companies/sasol/,0.056044901470769,0.102903565518279
Tenaga Nasional,20.991,11.178,1.495,27.547,464,Utilities,Electric Utilities,Asia,Malaysia,Malaysia,,Azman Mohammed,http://www.forbes.com/companies/tenaga-nasional/,0.0542708824917414,0.133744855967078
Coal India,27.317,11.789,2.2227,17.875,465,Materials,Diversified Metals & Mining,Asia,India,India,,Sutirtha Bhattacharya,http://www.forbes.com/companies/coal-india/,0.124346853146853,0.188540164560183
eBay,27.88,13.136,1.725,17.785,466,Consumer Discretionary,Internet & Catalog Retail,North America,United States,California,California,Devin Wenig,http://www.forbes.com/companies/ebay/,0.096991847062131,0.131318514007308
Compass Group,28.878,27.165,1.342,13.25,467,Consumer Discretionary,Restaurants,Europe,United Kingdom,United Kingdom,,Richard Cousins,http://www.forbes.com/companies/compass-group/,0.101283018867925,0.0494018037916437
Johnson Controls,27.18,36.317,0.447,31.222,468,Consumer Discretionary,Auto & Truck Parts,North America,United States,Wisconsin,Wisconsin,Alex Molinaroli,http://www.forbes.com/companies/johnson-controls/,0.0143168278777785,0.0123082853759947
Swisscom,26.059,12.128,1.4135,21.128,469,Telecommunication Services,Telecommunications services,Europe,Switzerland,Switzerland,,Urs Schaeppi,http://www.forbes.com/companies/swisscom/,0.0669017417644831,0.116548482849604
China Reinsurance Group,11.03,13.48,1.2058,50.712,470,Financials,Diversified Insurance,Asia,China,China,,Yong Wang,http://www.forbes.com/companies/china-reinsurance-group/,0.0237774096860704,0.0894510385756676
Xcel Energy,19.836,11.02,0.9845,39.054,471,Utilities,Electric Utilities,North America,United States,Minnesota,Minnesota,Benjamin Fowke,http://www.forbes.com/companies/xcel-energy/,0.0252086854099452,0.0893375680580762
Stryker,40.827,10.062,1.617,19.668,472,Health Care,Medical Equipment & Supplies,North America,United States,Michigan,Michigan,Kevin Lobo,http://www.forbes.com/companies/stryker/,0.0822147651006711,0.160703637447824
Rio Tinto,62.821,34.835,-0.8582,91.564,473,Materials,Diversified Metals & Mining,Europe,United Kingdom,United Kingdom,,Samuel Cossart Walsh,http://www.forbes.com/companies/rio-tinto/,-0.009372679218907,-0.0246361418113966
Grupo ACS,10.225,38.729,0.8043,38.324,474,Industrials,Construction Services,Europe,Spain,Spain,,Florentino Rodríguez,http://www.forbes.com/companies/grupo-acs/,0.0209868489719236,0.0207673836143458
Associated British Foods,35.723,19.163,1.1284,15.068,475,Consumer Staples,Food Processing,Europe,United Kingdom,United Kingdom,,Krzysztof Gbyl,http://www.forbes.com/companies/associated-british-foods/,0.0748871781258296,0.0588843083024579
Hilton Worldwide Holdings,21.428,11.272,1.404,25.716,476,Consumer Discretionary,Hotels & Motels,North America,United States,Virginia,Virginia,Christopher Nassetta,http://www.forbes.com/companies/hilton-worldwide/,0.0545963602426505,0.124556422995032
Kimberly-Clark,45.693,18.591,1.013,14.842,477,Consumer Staples,Household/Personal Care,North America,United States,Texas,Texas,Thomas Falk,http://www.forbes.com/companies/kimberly-clark/,0.0682522571082064,0.0544887311064493
Daikin Industries,23.934,16.801,1.0947,19.346,478,Materials,Construction Materials,Asia,Japan,Japan,,Masanori Togawa,http://www.forbes.com/companies/daikin-industries/,0.0565853406388918,0.0651568359026248
Deutsche Lufthansa,7.279,35.548,1.8829,36.251,479,Industrials,Airline,Europe,Germany,Germany,,Carsten Spohr,http://www.forbes.com/companies/deutsche-lufthansa/,0.0519406361203829,0.0529678181613593
Viacom,17.332,13.078,1.871,22.362,479,Consumer Discretionary,Broadcasting & Cable,North America,United States,New York,New York,Philippe Dauman,http://www.forbes.com/companies/viacom/,0.0836687237277524,0.143064688790335
ConocoPhillips,58.971,29.447,-4.428,97.484,481,Energy,Oil & Gas Operations,North America,United States,Texas,Texas,Ryan Lance,http://www.forbes.com/companies/conocophillips/,-0.0454228386196709,-0.150371854518287
Garanti Bank,12.499,8.269,1.3834,94.236,482,Financials,Regional Banks,Europe,Turkey,Turkey,,Ali Erbil,http://www.forbes.com/companies/garanti-bank/,0.0146801646928987,0.167299552545652
Teliasonera,21.04,11.481,1.0163,31.008,483,Telecommunication Services,Telecommunications services,Europe,Sweden,Sweden,,Johan Dennelind,http://www.forbes.com/companies/teliasonera/,0.0327754127966976,0.0885201637488024
Axis Bank,17.003,7.289,1.2181,74.669,484,Financials,Regional Banks,Asia,India,India,,Shikha Sharma,http://www.forbes.com/companies/axis-bank/,0.0163133294941676,0.167114830566607
HeidelbergCement,16.577,14.931,0.8872,32.002,485,Materials,Construction Materials,Europe,Germany,Germany,,Bernd Scheifele,http://www.forbes.com/companies/heidelbergcement/,0.027723267295794,0.059419998660505
Royal Ahold,17.531,42.364,0.9426,17.25,486,Consumer Staples,Food Retail,Europe,Netherlands,Netherlands,,Dick Boer,http://www.forbes.com/companies/royal-ahold/,0.0546434782608696,0.0222500236049476
Swire Pacific,15.757,7.854,1.7322,46.756,487,Industrials,Conglomerates,Asia,Hong Kong,Hong Kong,,John Slosar,http://www.forbes.com/companies/swire-pacific/,0.0370476516382924,0.220550038197097
Praxair,34.124,10.776,1.547,18.319,488,Materials,Specialized Chemicals,North America,United States,Connecticut,Connecticut,Stephen Angel,http://www.forbes.com/companies/praxair/,0.084447841039358,0.143559762435041
Suzuki Motor,14.196,26.664,0.9848,23.242,488,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,Japan,,Osamu Suzuki,http://www.forbes.com/companies/suzuki-motor/,0.0423715687118148,0.0369336933693369
Samsung Fire & Marine,12.241,16.915,0.7168,52.781,490,Financials,Property & Casualty Insurance,Asia,South Korea,South Korea,,Min-Soo Ahn,http://www.forbes.com/companies/samsung-fire-marine/,0.0135806445501222,0.0423765888264854
Omnicom Group,20.009,15.164,1.0919,22.111,491,Consumer Discretionary,Advertising,North America,United States,New York,New York,John Wren,http://www.forbes.com/companies/omnicom-group/,0.0493826602143729,0.0720060670007914
Ecolab,34.132,13.545,1.0021,18.642,492,Materials,Specialized Chemicals,North America,United States,Minnesota,Minnesota,Douglas Baker,http://www.forbes.com/companies/ecolab/,0.0537549619139577,0.0739830195644149
Ally Financial,8.942,10.124,1.289,160.478,493,,,North America,United States,Michigan,Michigan,Jeffrey Brown,http://www.forbes.com/companies/ally-financial/,0.0080322536422438,0.127321216910312
AmerisourceBergen,20.714,139.082,0.3954,30.756,493,Health Care,Pharmaceuticals,North America,United States,Pennsylvania,Pennsylvania,Steven Collis,http://www.forbes.com/companies/amerisourcebergen/,0.0128560280920796,0.00284292719402942
E.ON,20.938,128.877,-7.7613,133.888,493,Utilities,Electric Utilities,Europe,Germany,Germany,,Johannes Teyssen,http://www.forbes.com/companies/eon/,-0.0579686006214149,-0.06022253776857
Komatsu,17.755,15.798,1.1666,22.198,493,Industrials,Heavy Equipment,Asia,Japan,Japan,,Tetsuji Ohashi,http://www.forbes.com/companies/komatsu/,0.052554284169745,0.0738447904798076
Corning,23.084,9.091,1.339,28.547,497,Information Technology,Communications Equipment,North America,United States,New York,New York,Wendell Weeks,http://www.forbes.com/companies/corning/,0.0469051038638036,0.147288527114729
TE Connectivity,21.893,11.887,2.044,17.841,498,Information Technology,Electronics,Europe,Switzerland,Switzerland,,Thomas Lynch,http://www.forbes.com/companies/te-connectivity/,0.114567569082451,0.171952553209388
CIC Group,7.393,12.331,1.232,275.894,499,Financials,Regional Banks,Europe,France,France,,Alain Fradin,http://www.forbes.com/companies/cic-group/,0.00446548312032882,0.0999107939339875
Colgate-Palmolive,61.609,16.034,1.384,11.958,500,Consumer Staples,Household/Personal Care,North America,United States,New York,New York,Ian Cook,http://www.forbes.com/companies/colgate-palmolive/,0.115738417795618,0.0863165772732943
SK Innovation,12.962,42.725,0.72,26.745,500,Energy,Oil & Gas Operations,Asia,South Korea,South Korea,,Chul-Khil Chung,http://www.forbes.com/companies/sk-innovation/,0.0269209197980931,0.0168519602106495
FirstRand,18.457,5.763,1.7308,73.538,502,Financials,Major Banks,Africa,South Africa,South Africa,,Johannes Burger,http://www.forbes.com/companies/firstrand/,0.0235361309799015,0.300329689397883
Fiat Chrysler Automobiles,10.403,122.74,0.3704,114.105,503,Consumer Discretionary,Auto & Truck Manufacturers,Europe,United Kingdom,United Kingdom,,Sergio Marchionne,http://www.forbes.com/companies/fiat-chrysler-automobiles/,0.00324613294772359,0.00301776112106893
Level 3 Communications,19.182,8.229,3.433,24.145,504,Telecommunication Services,Telecommunications services,North America,United States,Colorado,Colorado,Jeffrey Storey,http://www.forbes.com/companies/level-3-communications/,0.142182646510665,0.417183132822943
Larsen & Toubro,17.69,15.123,0.7334,32.65,505,Industrials,Construction Services,Asia,India,India,,Anil Manibhai,http://www.forbes.com/companies/larsen-toubro/,0.0224624808575804,0.0484956688487734
SK Telecom,14.155,15.141,1.3269,24.375,506,Telecommunication Services,Telecommunications services,Asia,South Korea,South Korea,,Dong-Hyun Jang,http://www.forbes.com/companies/sk-telecom/,0.0544369230769231,0.0876362195363582
Formosa Petrochemical,26.713,19.825,1.4896,12.953,507,Energy,Oil & Gas Operations,Asia,Taiwan,Taiwan,,Ming Tsao,http://www.forbes.com/companies/formosa-petrochemical/,0.115000386010963,0.0751374527112232
Kubota,19.639,13.709,1.1981,21.057,508,Industrials,Heavy Equipment,Asia,Japan,Japan,,Masatoshi Kimata,http://www.forbes.com/companies/kubota/,0.0568979436766871,0.0873951418775987
Dongfeng Motor Group,9.853,20.152,1.8419,24.761,509,Consumer Discretionary,Auto & Truck Manufacturers,Asia,China,China,,Liang Ma,http://www.forbes.com/companies/dongfeng-motor-group/,0.074387141068616,0.0914003572846368
AMP,13.147,10.309,0.7294,101.645,510,Financials,Investment Services,Australia,Australia,Australia,,Craig Meller,http://www.forbes.com/companies/amp/,0.00717595553150672,0.0707537103501795
Ageas,8.768,13.382,0.8541,112.855,511,Financials,Diversified Insurance,Europe,Netherlands,Netherlands,,Bart De Smet,http://www.forbes.com/companies/ageas/,0.00756811838199459,0.0638245404274398
Cummins,19.779,19.104,1.399,15.134,512,Industrials,Heavy Equipment,North America,United States,Indiana,Indiana,Norman Linebarger,http://www.forbes.com/companies/cummins/,0.0924408616360513,0.0732307370184255
FirstEnergy,14.638,14.931,0.578,52.187,513,Utilities,Electric Utilities,North America,United States,Ohio,Ohio,Charles Jones,http://www.forbes.com/companies/firstenergy/,0.0110755552149003,0.0387114058000134
Mapfre,8.152,22.572,0.786,64.765,513,Financials,Diversified Insurance,Europe,Spain,Spain,,Antonio Mejías,http://www.forbes.com/companies/mapfre/,0.0121361846676446,0.0348219032429559
Macy's,12.77,27.079,1.072,20.576,515,Consumer Discretionary,Department Stores,North America,United States,Ohio,Ohio,Terry Lundgren,http://www.forbes.com/companies/macys/,0.052099533437014,0.0395878725211418
Standard Chartered,26.303,20.549,-2.1777,640.483,516,Financials,Major Banks,Europe,United Kingdom,United Kingdom,,Peter Sands,http://www.forbes.com/companies/standard-chartered/,-0.00340009024439368,-0.105975959900725
DISH Network,23.124,15.069,0.7471,22.887,517,Consumer Discretionary,Broadcasting & Cable,North America,United States,Colorado,Colorado,Charles Ergen,http://www.forbes.com/companies/dish-network/,0.0326429851007122,0.0495786050832836
Sysco,25.842,48.865,0.7668,13.089,518,Consumer Staples,Food Retail,North America,United States,Texas,Texas,Bill DeLaney,http://www.forbes.com/companies/sysco/,0.0585835434334174,0.0156922132405607
JBS,6.952,48.772,1.3891,31.288,519,Consumer Staples,Food Processing,South America,Brazil,Brazil,,Wesley Batista,http://www.forbes.com/companies/jbs/,0.0443972129890054,0.0284815057820061
Baxter International,23.834,12.747,0.968,20.975,520,Health Care,Medical Equipment & Supplies,North America,United States,Illinois,Illinois,José Almeida,http://www.forbes.com/companies/baxter-international/,0.046150178784267,0.075939436730211
Thales,17.797,15.595,0.8484,23.421,521,Industrials,Aerospace & Defense,Europe,France,France,,Patrice Caine,http://www.forbes.com/companies/thales/,0.0362239016267452,0.0544020519397243
Akzo Nobel,17.668,16.222,1.1688,18.493,522,Materials,Diversified Chemicals,Europe,Netherlands,Netherlands,,Ton Büchner,http://www.forbes.com/companies/akzo-nobel/,0.0632022927594225,0.0720503020589323
MTN Group,18.853,11.507,1.5809,20.255,523,Telecommunication Services,Telecommunications services,Africa,South Africa,South Africa,,Phuthuma Nhleko,http://www.forbes.com/companies/mtn-group/,0.0780498642310541,0.137385938993656
Becton Dickinson,33.865,11.216,0.688,26.046,524,Health Care,Medical Equipment & Supplies,North America,United States,New Jersey,New Jersey,Vincent Forlenza,http://www.forbes.com/companies/becton-dickinson/,0.0264148045765185,0.0613409415121255
Simon Property Group,62.546,5.258,1.5772,30.651,525,Financials,Real Estate,North America,United States,Indiana,Indiana,David Simon,http://www.forbes.com/companies/simon-property-group/,0.0514567224560373,0.299961962723469
Veolia Environnement,13.315,27.684,0.4992,38.986,526,Utilities,Diversified Utilities,Europe,France,France,,Antoine Frérot,http://www.forbes.com/companies/veolia-environnement/,0.0128045965218283,0.0180320762895535
Shin-Etsu Chemical,24.378,10.754,1.1977,20.496,527,Materials,Diversified Chemicals,Asia,Japan,Japan,,Chihiro Kanagawa,http://www.forbes.com/companies/shin-etsu-chemical/,0.0584357923497268,0.111372512553468
Investor AB,28.78,4.975,2.0664,39.953,528,Financials,Investment Services,Europe,Sweden,Sweden,,Johan Forssell,http://www.forbes.com/companies/investor-ab/,0.0517207719069907,0.415356783919598
Cognizant Technology,36.815,12.416,1.6236,13.065,529,Information Technology,Computer Services,North America,United States,New Jersey,New Jersey,Francisco D\'Souza,http://www.forbes.com/companies/cognizant-technology/,0.124270952927669,0.13076675257732
Suncorp Group,12.471,10.245,0.7744,68.713,530,Financials,Diversified Insurance,Australia,Australia,Australia,,Michael Cameron,http://www.forbes.com/companies/suncorp-group/,0.011270065344258,0.0755880917520742
GFNorte,15.182,6.928,1.0774,69.731,531,Financials,Regional Banks,North America,Mexico,Mexico,,Jose Miguel,http://www.forbes.com/companies/gfnorte/,0.0154508038031865,0.155513856812933
Kyocera,18.72,12.541,0.8376,26.419,531,Information Technology,Electronics,Asia,Japan,Japan,,Tetsuo Kuba,http://www.forbes.com/companies/kyocera/,0.0317044551269919,0.0667889323020493
Astellas Pharma,31.293,11.235,1.5336,14.862,533,Health Care,Pharmaceuticals,Asia,Japan,Japan,,Yoshihiko Hatanaka,http://www.forbes.com/companies/astellas-pharma/,0.103189341945902,0.136502002670227
Akbank,11.96,7.061,1.2309,85.988,534,Financials,Regional Banks,Europe,Turkey,Turkey,,Hakan Binbasgil,http://www.forbes.com/companies/akbank/,0.0143147881099688,0.174323750177029
RELX Group,37.155,9.123,1.54,16.486,535,Information Technology,Computer Services,Europe,United Kingdom,United Kingdom,,Erik Engstrom,http://www.forbes.com/companies/relx-group/,0.0934125925027296,0.168804121451277
Siam Commercial Bank,12.693,6.827,1.273,81.352,535,Financials,Regional Banks,Asia,Thailand,Thailand,,Arthid Nanthawithaya,http://www.forbes.com/companies/siam-commercial-bank/,0.0156480479889861,0.186465504614032
M&T Bank,18.946,5.136,1.1283,124.626,537,Financials,Regional Banks,North America,United States,New York,New York,Robert Wilmers,http://www.forbes.com/companies/mt-bank/,0.00905348803620432,0.219684579439252
Allied Irish Banks,27.46,4.08,1.5303,112.433,538,Financials,Regional Banks,Europe,Ireland,Ireland,,Gerald Byrne,http://www.forbes.com/companies/allied-irish-banks/,0.0136107726379266,0.375073529411765
Couche Tard,24.482,34.114,1.1294,11.2,538,Consumer Staples,Food Retail,North America,Canada,Canada,,Brian Hannasch,http://www.forbes.com/companies/couche-tard/,0.100839285714286,0.0331066424341912
Air Products & Chemicals,31.942,9.69,1.3169,17.26,540,Materials,Specialized Chemicals,North America,United States,,,Seifollah Ghasemi,http://www.forbes.com/companies/air-products-chemicals/,0.076297798377752,0.135902992776058
XL Group,10.481,9.371,1.2072,58.683,541,Financials,Diversified Insurance,Europe,Ireland,Ireland,,Michael Mcgavick,http://www.forbes.com/companies/xl-group/,0.0205715454220132,0.128822964464838
Enbridge,39.345,27.416,0.1962,60.949,542,Energy,Oil Services & Equipment,North America,Canada,Canada,,Albert Monaco,http://www.forbes.com/companies/enbridge/,0.00321908480861048,0.00715640501896703
Kering,21.5,12.846,0.7079,25.909,543,Consumer Discretionary,Apparel/Accessories,Europe,France,France,,François-Henri Pinault,http://www.forbes.com/companies/kering/,0.0273225520089544,0.0551066479838082
Al Rajhi Bank,25.478,4,2.0339,86.198,544,Financials,Regional Banks,Asia,Saudi Arabia,Saudi Arabia,,Stefano Bertamini,http://www.forbes.com/companies/al-rajhi-bank/,0.0235956750736676,0.508475
China Taiping Insurance,7.72,20.699,0.7852,58.564,545,Financials,Diversified Insurance,Asia,Hong Kong,Hong Kong,,Jin Li,http://www.forbes.com/companies/china-taiping-insurance/,0.0134075541288163,0.0379341997197932
Banco de Sabadell,10.76,7.97,0.7856,226.632,546,Financials,Regional Banks,Europe,Spain,Spain,,Jaime Romojaro,http://www.forbes.com/companies/banco-de-sabadell/,0.00346641251014861,0.0985696361355081
Mazda Motor,9.742,27.986,1.2456,20.932,547,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,Japan,,Masamichi Kogai,http://www.forbes.com/companies/mazda-motor/,0.0595069749665584,0.0445079682698492
New World Development,9.414,8.002,2.1357,52.861,548,Financials,Real Estate,Asia,Hong Kong,Hong Kong,,Guan Chen,http://www.forbes.com/companies/new-world-development/,0.0404021868674448,0.266895776055986
Waste Management,25.073,12.961,0.753,20.919,549,Industrials,Environmental & Waste,North America,United States,Texas,Texas,David Steiner,http://www.forbes.com/companies/waste-management/,0.0359959845116879,0.0580973690301674
Guosen Securities,19.499,6.008,1.8139,36.19,550,Financials,Investment Services,Asia,China,China,,"Cheng He,",http://www.forbes.com/companies/guosen-securities/,0.0501215805471125,0.301914114513981
Publicis Groupe,16.18,10.647,0.9991,27.642,551,Consumer Discretionary,Advertising,Europe,France,France,,Maurice Lévy,http://www.forbes.com/companies/publicis-groupe/,0.036144273207438,0.0938386399924861
Emirates NBD,12.71,5.287,1.8159,112.852,552,Financials,Regional Banks,Asia,United Arab Emirates,United Arab Emirates,,Shayne Nelson,http://www.forbes.com/companies/emirates-nbd/,0.0160909864246978,0.343465103083034
Suncor Energy,45.162,22.83,-1.5593,55.811,553,Energy,Oil & Gas Operations,North America,Canada,Canada,,Steven Williams,http://www.forbes.com/companies/suncor-energy/,-0.0279389367687373,-0.0683004818221638
Chinatrust Financial,9.137,7.889,1.1147,139.928,554,Financials,Regional Banks,Asia,Taiwan,Taiwan,,Wen Yen,http://www.forbes.com/companies/chinatrust-financial/,0.00796623978045852,0.141298009887185
Aisin Seiki,11.375,26.233,0.763,24.195,555,Consumer Discretionary,Auto & Truck Parts,Asia,Japan,Japan,,Kanshiro Toyoda,http://www.forbes.com/companies/aisin-seiki/,0.0315354412068609,0.0290855029924141
LafargeHolcim,30.263,24.552,-1.5256,73.225,556,Materials,Construction Materials,Europe,Switzerland,Switzerland,,Eric Olsen,http://www.forbes.com/companies/lafarge-holcim/,-0.0208344144759304,-0.0621375040729879
MTR,29.068,5.379,1.6761,31.109,557,Industrials,Railroads,Asia,Hong Kong,Hong Kong,,Kwok Leong,http://www.forbes.com/companies/mtr/,0.0538782988845672,0.311600669269381
JFE Holdings,10.291,29.564,0.5806,36.242,558,Materials,Iron & Steel,Asia,Japan,Japan,,Eiji Hayashida,http://www.forbes.com/companies/jfe-holdings/,0.0160200871916561,0.0196387498308754
Vale,26.036,25.596,-13.2359,87.342,559,Materials,Iron & Steel,South America,Brazil,Brazil,,Murilo Ferreira,http://www.forbes.com/companies/vale/,-0.15154106844359,-0.517108141897171
NXP Semiconductors,29.199,6.101,1.526,26.354,560,Information Technology,Semiconductors,Europe,Netherlands,Netherlands,,Richard Clemmer,http://www.forbes.com/companies/nxp-semiconductors/,0.0579039235030735,0.250122930667104
Evonik,14.771,14.978,1.1089,19.639,561,,,Europe,Germany,Germany,,Klaus Engel,http://www.forbes.com/companies/evonik/,0.0564641784204898,0.074035251702497
Tesoro,10.335,28.644,1.54,16.332,562,Energy,Oil & Gas Operations,North America,United States,Texas,Texas,Gregory Goff,http://www.forbes.com/companies/tesoro/,0.0942934117070781,0.0537634408602151
Wheelock,9.457,7.408,1.8358,66.161,563,Financials,Real Estate,Asia,Hong Kong,Hong Kong,,Chun-Kuen Woo,http://www.forbes.com/companies/wheelock-co/,0.0277474645183719,0.247813174946004
LG Chem,17.758,17.853,1.0187,15.845,564,Materials,Specialized Chemicals,Asia,South Korea,South Korea,,Jin-Soo Park,http://www.forbes.com/companies/lg-chem/,0.0642915746292206,0.057060438021621
Rogers Communications,19.847,10.278,1.0473,22.268,565,Telecommunication Services,Telecommunications services,North America,Canada,Canada,,Guy Laurence,http://www.forbes.com/companies/rogers-communications/,0.0470316148733609,0.10189725627554
Atlas Copco,32.762,12.11,1.3889,12.528,566,Industrials,Other Industrial Equipment,Europe,Sweden,Sweden,,Ronnie Leten,http://www.forbes.com/companies/atlas-copco/,0.110863665389527,0.114690338563171
Kasikornbank,11.065,7.55,1.0489,75.148,566,Financials,Regional Banks,Asia,Thailand,Thailand,,Banthoon Lamsam,http://www.forbes.com/companies/kasikornbank/,0.0139577899611433,0.138927152317881
ArcelorMittal,17.501,63.534,-8.022,76.846,568,Materials,Iron & Steel,Europe,Luxembourg,Luxembourg,,Lakshmi Mittal,http://www.forbes.com/companies/arcelormittal/,-0.104390599380579,-0.126263103220323
SCA,21.22,13.669,0.83,18.074,568,Consumer Staples,Household/Personal Care,Europe,Sweden,Sweden,,Magnus Groth,http://www.forbes.com/companies/sca/,0.0459223193537678,0.0607213402589802
Saudi Electricity,18.787,11.05,0.4019,95.375,570,Utilities,Electric Utilities,Asia,Saudi Arabia,Saudi Arabia,,Ziad Al-Shiha,http://www.forbes.com/companies/saudi-electricity/,0.00421389252948886,0.0363710407239819
QBE Insurance Group,12.014,12.858,0.6751,42.855,571,Financials,Property & Casualty Insurance,Australia,Australia,Australia,,John Neal,http://www.forbes.com/companies/qbe-insurance-group/,0.0157531209893828,0.0525042774926116
Bouygues,11.726,35.96,0.4469,36.755,572,Industrials,Construction Services,Europe,France,France,,Martin Bouygues,http://www.forbes.com/companies/bouygues/,0.012158889946946,0.0124276974416018
National Bank of Canada,12.02,5.841,1.0731,155.837,573,Financials,Regional Banks,North America,Canada,Canada,,Louis Vachon,http://www.forbes.com/companies/national-bank-of-canada/,0.0068860411840577,0.18371854134566
Whirlpool,14.484,20.891,0.783,19.01,574,Consumer Discretionary,Household Appliances,North America,United States,Michigan,Michigan,Jeff Fettig,http://www.forbes.com/companies/whirlpool/,0.0411888479747501,0.0374802546551146
Dollar General,23.346,20.369,1.1651,11.452,575,Consumer Discretionary,Discount Stores,North America,United States,Tennessee,Tennessee,Todd Vasos,http://www.forbes.com/companies/dollar-general/,0.101737687740133,0.0571996661593598
Posco,18.887,48.028,0.1593,68.576,576,Materials,Iron & Steel,Asia,South Korea,South Korea,,Jin-Il Kim,http://www.forbes.com/companies/posco/,0.00232297013532431,0.0033168151911385
