Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue
ICBC,198.042,171.077,44.1603,3420.257,1,Financials,Major Banks,Asia,China,China,,Jian Jiang,http://www.forbes.com/companies/icbc/,0.0129113981785579,0.258131133933843
China Construction Bank,162.774,146.816,36.3934,2825.983,2,Financials,Regional Banks,Asia,China,China,,You Guo,http://www.forbes.com/companies/china-construction-bank/,0.0128781383327501,0.247884426765475
Agricultural Bank of China,152.736,131.888,28.8087,2739.835,3,Financials,Regional Banks,Asia,China,China,,Ying Che,http://www.forbes.com/companies/agricultural-bank-of-china/,0.0105147572755294,0.218433064418294
Berkshire Hathaway,360.145,210.821,24.083,561.068,4,Financials,Investment Services,North America,United States,Nebraska,Nebraska,Warren Buffett,http://www.forbes.com/companies/berkshire-hathaway/,0.0429234959042398,0.114234350467933
JPMorgan Chase,234.247,99.881,23.548,2423.808,5,Financials,Major Banks,North America,United States,New York,New York,Jamie Dimon,http://www.forbes.com/companies/jpmorgan-chase/,0.00971529098014364,0.235760555060522
Bank of China,143.002,122.027,27.2095,2589.605,6,Financials,Major Banks,Asia,China,China,,Chen Siqing,http://www.forbes.com/companies/bank-of-china/,0.0105072009051573,0.222979340637728
Wells Fargo,255.998,91.431,22.686,1849.182,7,Financials,Major Banks,North America,United States,California,California,John Stumpf,http://www.forbes.com/companies/wells-fargo/,0.0122681272043531,0.248121534271746
Apple,585.951,233.273,53.731,293.284,8,Information Technology,Computer Hardware,North America,United States,,,Timothy Cook,http://www.forbes.com/companies/apple/,0.18320467533176,0.230335272406151
ExxonMobil,363.27,236.81,16.15,336.758,9,Energy,Oil & Gas Operations,North America,United States,Texas,Texas,Rex Tillerson,http://www.forbes.com/companies/exxon-mobil/,0.0479572868350566,0.0681981335247667
Toyota Motor,176.96,235.832,19.267,406.692,10,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,Japan,,Takeshi Uchiyamada,http://www.forbes.com/companies/toyota-motor/,0.0473749176280822,0.081697988398521
Bank of America,156.021,91.496,15.844,2185.498,11,Financials,Major Banks,North America,United States,North Carolina,North Carolina,Brian Moynihan,http://www.forbes.com/companies/bank-of-america/,0.00724960626822811,0.173166040045466
AT&T,234.177,146.801,13.244,402.672,12,Telecommunication Services,Telecommunications services,North America,United States,Texas,Texas,Randall Stephenson,http://www.forbes.com/companies/att/,0.0328902928438034,0.0902173690914912
Citigroup,138.149,85.945,15.771,1800.967,13,Financials,Major Banks,North America,United States,New York,New York,Mike Corbat,http://www.forbes.com/companies/citigroup/,0.0087569622319565,0.183501076269707
HSBC Holdings,132.956,70.267,13.4786,2409.656,14,Financials,Major Banks,Europe,United Kingdom,United Kingdom,,Stuart Gulliver,http://www.forbes.com/companies/hsbc-holdings/,0.00559357850249164,0.191819773150981
Verizon Communications,206.244,131.807,17.97,244.587,15,Telecommunication Services,Telecommunications services,North America,United States,New Jersey,New Jersey,Lowell Mcadam,http://www.forbes.com/companies/verizon-communications/,0.0734707895350121,0.13633570295963
Wal-Mart Stores,215.696,482.13,14.694,199.581,15,Consumer Discretionary,Discount Stores,North America,United States,Arkansas,Arkansas,C Mcmillon,http://www.forbes.com/companies/wal-mart-stores/,0.0736242427886422,0.0304772571713023
PetroChina,203.848,274.608,5.7043,368.685,17,Energy,Oil & Gas Operations,Asia,China,China,,Wang Dongjin,http://www.forbes.com/companies/petrochina/,0.0154720154061055,0.02077251937307
China Mobile,240.997,107.758,17.1245,219.893,18,Telecommunication Services,Telecommunications services,Asia,China,China,,Yue Li,http://www.forbes.com/companies/china-mobile/,0.0778765126675247,0.158916275357746
Samsung Electronics,161.55,177.286,16.5176,206.541,18,Information Technology,Semiconductors,Asia,South Korea,South Korea,,Oh-Hyun Kwon,http://www.forbes.com/companies/samsung-electronics/,0.0799724994068974,0.0931692293807746
Ping An Insurance Group,89.974,98.688,8.6579,732.277,20,Financials,Diversified Insurance,Asia,China,China,,Ming Ma,http://www.forbes.com/companies/ping-an-insurance/,0.0118232581386552,0.0877300178339818
