Company,Sector,Industry,Continent,Country,Market Value,Sales,Profits,Assets,Rank,Forbes Webpage,Profits as % of Assets,Profits as % of Sales
Altria Group,Consumer Staples,Tobacco,North America,United States,74.5,17.7,4.5,34.9,239,http://www.forbes.com/companies/altria-group/,0.128939828080229,0.254237288135593
BlackRock,Financials,Investment Services,North America,United States,53.1,10.4,2.9,220.6,240,http://www.forbes.com/companies/blackrock/,0.0131459655485041,0.278846153846154
Exelon,Utilities,Electric Utilities,North America,United States,28.7,24.6,1.7,79.9,241,http://www.forbes.com/companies/exelon/,0.0212765957446809,0.0691056910569106
Danone,Consumer Staples,Food Processing,Europe,France,41.8,28.3,1.9,42.6,242,http://www.forbes.com/companies/danone/,0.0446009389671361,0.0671378091872791
Archer Daniels Midland,Consumer Staples,Food Processing,North America,United States,28.5,89.7,1.3,43.8,243,http://www.forbes.com/companies/archer-daniels-midland/,0.0296803652968037,0.0144927536231884
McKesson,Health Care,Pharmaceuticals,North America,United States,40.5,130.1,1.2,36.5,243,http://www.forbes.com/companies/mckesson/,0.0328767123287671,0.00922367409684858
Heineken Holding,Consumer Staples,Beverages,Europe,Netherlands,40.3,25.5,1.8,45.9,245,http://www.forbes.com/companies/heineken-holding/,0.0392156862745098,0.0705882352941176
Panasonic,Consumer Discretionary,Consumer Electronics,Asia,Japan,28.4,77.3,1.2,52.1,246,http://www.forbes.com/companies/panasonic/,0.0230326295585413,0.0155239327296248
Hess,Energy,Oil & Gas Operations,North America,United States,27.3,22.2,5.1,42.8,246,http://www.forbes.com/companies/hess/,0.119158878504673,0.22972972972973
People's Insurance Company,Financials,Property & Casualty Insurance,Asia,China,17.7,42.3,1.5,114.9,248,http://www.forbes.com/companies/peoples-insurance-company/,0.0130548302872063,0.0354609929078014
Shinhan Financial Group,Financials,Investment Services,Asia,South Korea,21.1,19.6,1.7,295,249,http://www.forbes.com/companies/shinhan-financial-group/,0.00576271186440678,0.086734693877551
