Company,Sector,Industry,Continent,Country,Market Value,Sales,Profits,Assets,Rank,Forbes Webpage,Profits as % of Assets,Profits as % of Sales
China Vanke,Financials,Real Estate,Asia,China,14.9,22,2.5,79.2,305,http://www.forbes.com/companies/china-vanke/,0.0315656565656566,0.113636363636364
China Communications Construction,Industrials,Construction Services,Asia,China,11.2,52.8,2,85.6,306,http://www.forbes.com/companies/china-communications-construction/,0.0233644859813084,0.0378787878787879
State Street,Financials,Investment Services,North America,United States,30,9.7,2.1,243.3,307,http://www.forbes.com/companies/state-street/,0.00863131935881628,0.216494845360825
Central Japan Railway,Industrials,Railroads,Asia,Japan,22.8,16.7,2.6,50.6,308,http://www.forbes.com/companies/central-japan-railway/,0.0513833992094862,0.155688622754491
Kroger,Consumer Staples,Food Retail,North America,United States,22.2,98.5,1.5,29.3,309,http://www.forbes.com/companies/kroger/,0.0511945392491468,0.0152284263959391
Johnson Controls,Consumer Discretionary,Auto & Truck Parts,North America,United States,32,43.2,1.3,30.8,310,http://www.forbes.com/companies/johnson-controls/,0.0422077922077922,0.0300925925925926
China Railway Construction,Industrials,Construction Services,Asia,China,10.5,89.9,1.7,87.5,311,http://www.forbes.com/companies/china-railway-construction/,0.0194285714285714,0.0189098998887653
Henkel,Consumer Staples,Household/Personal Care,Europe,Germany,46.4,21.7,2.1,26.7,312,http://www.forbes.com/companies/henkel/,0.0786516853932584,0.0967741935483871
Inditex,Consumer Discretionary,Apparel/Footwear Retail,Europe,Spain,94.3,22.2,3.2,18.6,313,http://www.forbes.com/companies/inditex/,0.172043010752688,0.144144144144144
Emerson Electric,Industrials,Electrical Equipment,North America,United States,47.3,24.7,2,24.1,314,http://www.forbes.com/companies/emerson-electric/,0.0829875518672199,0.0809716599190283
Husky Energy,Energy,Oil & Gas Operations,North America,Canada,30,22.3,1.8,35.6,315,http://www.forbes.com/companies/husky-energy/,0.050561797752809,0.0807174887892377
Wilmar International,Consumer Staples,Food Processing,Asia,Singapore,17.7,44.1,1.3,46.6,316,http://www.forbes.com/companies/wilmar-international/,0.0278969957081545,0.0294784580498866
Teliasonera,Telecommunication Services,Telecommunications services,Europe,Sweden,32.9,15.6,2.3,39.4,316,http://www.forbes.com/companies/teliasonera/,0.0583756345177665,0.147435897435897
Dominion Resources,Utilities,Electric Utilities,North America,United States,40.9,13.2,1.7,50.1,318,http://www.forbes.com/companies/dominion-resources/,0.0339321357285429,0.128787878787879
BB&T,Financials,Regional Banks,North America,United States,28.8,10.6,1.7,184.5,319,http://www.forbes.com/companies/bbt/,0.00921409214092141,0.160377358490566
China Railway Group,Industrials,Construction Services,Asia,Hong Kong,10,85.9,1.5,102.3,320,http://www.forbes.com/companies/china-railway-group/,0.0146627565982405,0.0174621653084983
Sasol,Materials,Diversified Chemicals,Africa,South Africa,37,20.1,2.8,24.5,321,http://www.forbes.com/companies/sasol/,0.114285714285714,0.139303482587065
NIKE,Consumer Discretionary,Apparel/Accessories,North America,United States,65.9,27,2.7,17.8,322,http://www.forbes.com/companies/nike/,0.151685393258427,0.1
Kinder Morgan,Energy,Oil Services & Equipment,North America,United States,33.9,14.1,1.2,75.2,323,http://www.forbes.com/companies/kinder-morgan/,0.0159574468085106,0.0851063829787234
SingTel,Telecommunication Services,Telecommunications services,Asia,Singapore,46.2,13.7,2.9,30.9,324,http://www.forbes.com/companies/singtel/,0.0938511326860841,0.211678832116788
CaixaBank,Financials,Regional Banks,Europe,Spain,33.3,15.9,0.7,468.8,325,http://www.forbes.com/companies/caixabank/,0.00149317406143345,0.0440251572327044
OMV Group,Energy,Oil & Gas Operations,Europe,Austria,14.8,56.3,1.5,43.8,326,http://www.forbes.com/companies/omv-group/,0.0342465753424658,0.0266429840142096
Maybank,Financials,Regional Banks,Asia,Malaysia,26.3,9.7,2.1,171.1,326,http://www.forbes.com/companies/maybank/,0.0122735242548217,0.216494845360825
Holcim,Materials,Construction Materials,Europe,Switzerland,27.3,21.3,1.4,42.7,328,http://www.forbes.com/companies/holcim/,0.0327868852459016,0.0657276995305164
Reckitt Benckiser Group,Consumer Staples,Household/Personal Care,Europe,United Kingdom,58.7,15.2,2.7,25.1,329,http://www.forbes.com/companies/reckitt-benckiser-group/,0.107569721115538,0.177631578947368
Telenor,Telecommunication Services,Telecommunications services,Europe,Norway,33.1,17.7,2.2,30.6,330,http://www.forbes.com/companies/telenor/,0.0718954248366013,0.124293785310734
EOG Resources,Energy,Oil & Gas Operations,North America,United States,54.1,14.5,2.2,30.6,331,http://www.forbes.com/companies/eog-resources/,0.0718954248366013,0.151724137931035
Tata Motors,Consumer Discretionary,Auto & Truck Manufacturers,Asia,India,19.9,34.5,1.8,32.4,332,http://www.forbes.com/companies/tata-motors/,0.0555555555555556,0.0521739130434783
Power Corp of Canada,Financials,Life & Health Insurance,North America,Canada,12.7,31.7,1,319.9,333,http://www.forbes.com/companies/power-corp-of-canada/,0.00312597686777118,0.0315457413249211
Monsanto,Materials,Specialized Chemicals,North America,United States,59.8,15.4,2.7,23.5,334,http://www.forbes.com/companies/monsanto/,0.114893617021277,0.175324675324675
Raytheon,Industrials,Aerospace & Defense,North America,United States,31.2,23.7,2,26,335,http://www.forbes.com/companies/raytheon/,0.0769230769230769,0.0843881856540084
SSE,Utilities,Electric Utilities,Europe,United Kingdom,24.1,47.5,1.2,31.1,336,http://www.forbes.com/companies/sse/,0.0385852090032154,0.0252631578947368
Mitsubishi Heavy Industries,Industrials,Heavy Equipment,Asia,Japan,19.4,31.8,1.3,41.9,337,http://www.forbes.com/companies/mitsubishi-heavy-industries/,0.0310262529832936,0.0408805031446541
Chubb,Financials,Property & Casualty Insurance,North America,United States,21.8,13.9,2.3,52.7,338,http://www.forbes.com/companies/chubb/,0.0436432637571157,0.165467625899281
Accenture,Information Technology,Computer Services,Europe,Ireland,52.7,30.6,2.9,16.4,339,http://www.forbes.com/companies/accenture/,0.176829268292683,0.0947712418300654
Mitsubishi Electric,Industrials,Electrical Equipment,Asia,Japan,24.7,38.8,1.2,32.5,339,http://www.forbes.com/companies/mitsubishi-electric/,0.0369230769230769,0.0309278350515464
American Electric,Utilities,Electric Utilities,North America,United States,24.6,15.3,1.5,56.4,341,http://www.forbes.com/companies/american-electric/,0.0265957446808511,0.0980392156862745
HCA Holdings,Health Care,Healthcare Services,North America,United States,22.9,34.2,1.6,28.8,342,http://www.forbes.com/companies/hca-holdings/,0.0555555555555556,0.0467836257309941
Standard Life,Financials,Life & Health Insurance,Europe,United Kingdom,15.2,32.2,0.7,295.5,343,http://www.forbes.com/companies/standard-life/,0.00236886632825719,0.0217391304347826
Enbridge,Energy,Oil Services & Equipment,North America,Canada,38.5,32.2,0.6,54.2,344,http://www.forbes.com/companies/enbridge/,0.011070110701107,0.0186335403726708
Northrop Grumman,Industrials,Aerospace & Defense,North America,United States,26.9,24.7,2,26.4,345,http://www.forbes.com/companies/northrop-grumman/,0.0757575757575758,0.0809716599190283
WPP,Consumer Discretionary,Advertising,Europe,United Kingdom,27.7,17.2,1.5,41.4,346,http://www.forbes.com/companies/wpp/,0.036231884057971,0.0872093023255814
Kraft Foods Group,Consumer Staples,Food Processing,North America,United States,33.5,18.3,2.7,23.1,347,http://www.forbes.com/companies/kraft-foods-group/,0.116883116883117,0.147540983606557
Takeda Pharmaceutical,Health Care,Pharmaceuticals,Asia,Japan,37,17,1.1,42.1,348,http://www.forbes.com/companies/takeda-pharmaceutical/,0.0261282660332542,0.0647058823529412
Discover Financial Services,Financials,Consumer Financial Services,North America,United States,27.8,9.2,2.5,79.6,349,http://www.forbes.com/companies/discover-financial-services/,0.0314070351758794,0.271739130434783
EDP-Energias de Portugal,Utilities,Electric Utilities,Europe,Portugal,16.9,21.4,1.3,58.8,349,http://www.forbes.com/companies/edp-energias-de-portugal/,0.022108843537415,0.0607476635514019
Safran,Industrials,Aerospace & Defense,Europe,France,29,19.5,1.4,33,351,http://www.forbes.com/companies/safran/,0.0424242424242424,0.0717948717948718
Volvo Group,Industrials,Heavy Equipment,Europe,Sweden,34.7,41.8,0.6,53.7,352,http://www.forbes.com/companies/volvo-group/,0.0111731843575419,0.0143540669856459
Investor,Financials,Investment Services,Europe,Sweden,28.3,9.5,6.9,41.6,353,http://www.forbes.com/companies/investor/,0.165865384615385,0.726315789473684
Sumitomo Mitsui Trust,Financials,Major Banks,Asia,Japan,17.7,11.2,1.4,400.6,353,http://www.forbes.com/companies/sumitomo-mitsui-trust/,0.00349475786320519,0.125
Fannie Mae,Financials,Investment Services,North America,United States,4.6,122.9,84,3270.1,355,http://www.forbes.com/companies/fannie-mae/,0.0256872878505244,0.683482506102522
Samsung Life Insurance,Financials,Life & Health Insurance,Asia,South Korea,18,21.8,0.7,182.8,356,http://www.forbes.com/companies/samsung-life-insurance/,0.00382932166301969,0.0321100917431193
Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,North America,United States,67.2,13.8,2.3,22.7,357,http://www.forbes.com/companies/las-vegas-sands/,0.101321585903084,0.166666666666667
Baxter International,Health Care,Medical Equipment & Supplies,North America,United States,39.9,15.3,2,25.9,358,http://www.forbes.com/companies/baxter-international/,0.0772200772200772,0.130718954248366
Michelin Group,Consumer Discretionary,Auto & Truck Parts,Europe,France,23.6,26.9,1.5,28.5,359,http://www.forbes.com/companies/michelin-group/,0.0526315789473684,0.0557620817843866
Anadarko Petroleum,Energy,Oil & Gas Operations,North America,United States,44.3,14.9,0.8,55.8,359,http://www.forbes.com/companies/anadarko-petroleum/,0.014336917562724,0.0536912751677852
Sun Hung Kai Properties,Financials,Real Estate,Asia,Hong Kong,33.4,7.1,4.7,69.5,361,http://www.forbes.com/companies/sun-hung-kai-properties/,0.0676258992805755,0.661971830985915
Ameriprise Financial,Financials,Investment Services,North America,United States,21.3,11.2,1.3,144.6,362,http://www.forbes.com/companies/ameriprise-financial/,0.00899031811894883,0.116071428571429
International Paper,Materials,Paper & Paper Products,North America,United States,20.1,29.1,1.4,31.5,363,http://www.forbes.com/companies/international-paper/,0.0444444444444444,0.0481099656357388
Gilead Sciences,Health Care,Biotechs,North America,United States,113.2,11.2,3.1,22.5,364,http://www.forbes.com/companies/gilead-sciences/,0.137777777777778,0.276785714285714
Huaxia Bank,Financials,Regional Banks,Asia,China,12,12.9,2.4,253.5,365,http://www.forbes.com/companies/huaxia-bank/,0.00946745562130178,0.186046511627907
Kimberly-Clark,Consumer Staples,Household/Personal Care,North America,United States,41.5,21.2,2.1,18.9,366,http://www.forbes.com/companies/kimberly-clark/,0.111111111111111,0.0990566037735849
United Overseas Bank,Financials,Regional Banks,Asia,Singapore,27.2,7,2.4,225.1,367,http://www.forbes.com/companies/united-overseas-bank/,0.0106619280319858,0.342857142857143
CBS,Consumer Discretionary,Broadcasting & Cable,North America,United States,37.5,15.3,1.9,26.4,368,http://www.forbes.com/companies/cbs/,0.071969696969697,0.124183006535948
Toshiba,Information Technology,Electronics,Asia,Japan,17.9,65,0.6,61.6,369,http://www.forbes.com/companies/toshiba/,0.00974025974025974,0.00923076923076923
KB Financial Group,Financials,Investment Services,Asia,South Korea,13.7,15.8,1.2,276.5,370,http://www.forbes.com/companies/kb-financial-group/,0.00433996383363472,0.0759493670886076
Richemont,Consumer Discretionary,Specialty Stores,Europe,Switzerland,54.3,13.6,2.8,21.1,371,http://www.forbes.com/companies/richemont/,0.132701421800948,0.205882352941176
Merck,Health Care,Pharmaceuticals,Europe,Germany,36.3,14.7,1.6,28.7,372,http://www.forbes.com/companies/merck/,0.0557491289198606,0.108843537414966
Femsa,Consumer Staples,Beverages,North America,Mexico,33.3,20,1.2,27.4,373,http://www.forbes.com/companies/femsa/,0.0437956204379562,0.06
Marathon Oil,Energy,Oil & Gas Operations,North America,United States,24.5,14.8,1.8,35.8,373,http://www.forbes.com/companies/marathon-oil/,0.0502793296089385,0.121621621621622
Carnival,Consumer Discretionary,Hotels & Motels,North America,United States,31,15.5,1.1,40.1,375,http://www.forbes.com/companies/carnival/,0.027431421446384,0.0709677419354839
Mapfre,Financials,Diversified Insurance,Europe,Spain,13.2,27.3,1,74.1,376,http://www.forbes.com/companies/mapfre/,0.0134952766531714,0.0366300366300366
Freddie Mac,Financials,Investment Services,North America,United States,2.6,62.2,48.7,1981.8,377,http://www.forbes.com/companies/freddie-mac/,0.0245736199414674,0.782958199356913
MTN Group,Telecommunication Services,Telecommunications services,Africa,South Africa,38.1,14.1,2.7,21.7,378,http://www.forbes.com/companies/mtn-group/,0.124423963133641,0.191489361702128
General Mills,Consumer Staples,Food Processing,North America,United States,31.8,18,1.8,22.9,379,http://www.forbes.com/companies/general-mills/,0.0786026200873362,0.1
Viacom,Consumer Discretionary,Broadcasting & Cable,North America,United States,38,13.7,2.5,22.8,380,http://www.forbes.com/companies/viacom/,0.109649122807018,0.182481751824818
Lafarge,Materials,Construction Materials,Europe,France,23.1,20.2,0.8,51.1,381,http://www.forbes.com/companies/lafarge/,0.0156555772994129,0.0396039603960396
Grupo ACS,Industrials,Construction Services,Europe,Spain,12.4,50.9,0.9,54.8,382,http://www.forbes.com/companies/grupo-acs/,0.0164233576642336,0.0176817288801572
Thermo Fisher Scientific,,Precision Healthcare Equipment,North America,United States,47.8,13.1,1.3,31.9,383,http://www.forbes.com/companies/thermo-fisher-scientific/,0.0407523510971787,0.0992366412213741
Sistema,Telecommunication Services,Telecommunications services,Asia,Russia,9.8,35.5,2.3,44.4,384,http://www.forbes.com/companies/sistema/,0.0518018018018018,0.0647887323943662
Baker Hughes,Energy,Oil Services & Equipment,North America,United States,28.7,22.4,1.1,27.9,385,http://www.forbes.com/companies/baker-hughes/,0.039426523297491,0.0491071428571429
Automatic Data,Consumer Discretionary,Business & Personal Services,North America,United States,37.3,11.7,1.4,38.3,386,http://www.forbes.com/companies/automatic-data/,0.0365535248041775,0.11965811965812
Canadian National Railway,Industrials,Railroads,North America,Canada,46.7,10.3,2.5,28.7,387,http://www.forbes.com/companies/canadian-national-railway/,0.0871080139372822,0.242718446601942
Orix,Financials,Consumer Financial Services,Asia,Japan,18.4,12,1.4,82.5,388,http://www.forbes.com/companies/orix/,0.016969696969697,0.116666666666667
Talanx,Financials,Diversified Insurance,Europe,Germany,9.2,36.7,1,174,389,http://www.forbes.com/companies/talanx/,0.00574712643678161,0.0272479564032698
TransCanada,Energy,Oil Services & Equipment,North America,Canada,35.4,8.5,1.7,53.3,390,http://www.forbes.com/companies/transcanada/,0.0318949343339587,0.2
Lloyds Banking Group,Financials,Major Banks,Europe,United Kingdom,89.9,58.6,-1.3,1402.9,391,http://www.forbes.com/companies/lloyds-banking-group/,-0.000926651935276926,-0.0221843003412969
Isbank,Financials,Regional Banks,Europe,Turkey,9.9,14.6,2.3,114.3,392,http://www.forbes.com/companies/isbank/,0.0201224846894138,0.157534246575342
Saudi Telecom,Telecommunication Services,Telecommunications services,Asia,Saudi Arabia,35.6,12.2,2.6,23.3,393,http://www.forbes.com/companies/saudi-telecom/,0.111587982832618,0.213114754098361
CSX,Industrials,Railroads,North America,United States,29.3,12,1.9,31.8,394,http://www.forbes.com/companies/csx/,0.059748427672956,0.158333333333333
Norfolk Southern,Industrials,Railroads,North America,United States,30.4,11.2,1.9,32.9,395,http://www.forbes.com/companies/norfolk-southern/,0.0577507598784195,0.169642857142857
Lincoln National,Financials,Life & Health Insurance,North America,United States,13.4,12.2,1.2,239,396,http://www.forbes.com/companies/lincoln-national/,0.00502092050209205,0.0983606557377049
Macy's,Consumer Discretionary,Department Stores,North America,United States,21.7,27.9,1.5,21.6,397,http://www.forbes.com/companies/macys/,0.0694444444444444,0.0537634408602151
Pernod Ricard,Consumer Staples,Beverages,Europe,France,30.6,10.9,1.6,38.3,398,http://www.forbes.com/companies/pernod-ricard/,0.0417754569190601,0.146788990825688
Novo Nordisk,Health Care,Pharmaceuticals,Europe,Denmark,119.6,14.9,4.5,13,399,http://www.forbes.com/companies/novo-nordisk/,0.346153846153846,0.302013422818792
Cathay Financial,Financials,Life & Health Insurance,Asia,Taiwan,17.1,11,1,199.3,400,http://www.forbes.com/companies/cathay-financial/,0.00501756146512795,0.0909090909090909
Huaneng Power International,Utilities,Electric Utilities,Asia,China,12.1,21.8,1.7,43.1,401,http://www.forbes.com/companies/huaneng-power-international/,0.0394431554524362,0.0779816513761468
Royal Ahold,Consumer Staples,Food Retail,Europe,Netherlands,19.6,43.4,1.2,20.9,402,http://www.forbes.com/companies/royal-ahold/,0.0574162679425837,0.0276497695852535
SunTrust Banks,Financials,Regional Banks,North America,United States,21.5,8.3,1.3,175.3,403,http://www.forbes.com/companies/suntrust-banks/,0.00741585852823731,0.156626506024096
NKSJ Holdings,Financials,Property & Casualty Insurance,Asia,Japan,10.6,30.1,0.9,90.4,404,http://www.forbes.com/companies/nksj-holdings/,0.00995575221238938,0.0299003322259136
GDF SUEZ,Utilities,Electric Utilities,Europe,France,64.6,118.6,-12.3,219.9,405,http://www.forbes.com/companies/gdf-suez/,-0.0559345156889495,-0.103709949409781
Glencore International,Materials,Diversified Metals & Mining,Europe,Switzerland,67.5,232.6,-7.5,154.9,406,http://www.forbes.com/companies/glencore-international/,-0.0484183344092963,-0.032244196044712
Qatar National Bank,Financials,Regional Banks,Asia,Qatar,37.1,5.4,2.6,121.8,407,http://www.forbes.com/companies/qatar-national-bank/,0.0213464696223317,0.481481481481481
Sampo,Financials,Diversified Insurance,Europe,Finland,29.7,8.7,1.9,44.3,408,http://www.forbes.com/companies/sampo/,0.0428893905191874,0.218390804597701
Magna International,Consumer Discretionary,Auto & Truck Parts,North America,Canada,21.9,34.8,1.6,18,409,http://www.forbes.com/companies/magna-international/,0.0888888888888889,0.0459770114942529
Komatsu,Industrials,Heavy Equipment,Asia,Japan,19.7,19.7,1.5,25.9,410,http://www.forbes.com/companies/komatsu/,0.0579150579150579,0.0761421319796954
Fubon Financial,Financials,Investment Services,Asia,Taiwan,13.9,12.5,1.1,149.1,411,http://www.forbes.com/companies/fubon-financial/,0.0073775989268947,0.088
Inpex,Energy,Oil & Gas Operations,Asia,Japan,19.1,13.6,1.6,37.7,411,http://www.forbes.com/companies/inpex/,0.0424403183023873,0.117647058823529
PG&E,Utilities,Electric Utilities,North America,United States,19.4,15.6,0.8,57.3,413,http://www.forbes.com/companies/pge/,0.0139616055846422,0.0512820512820513
Garanti Bank,Financials,Regional Banks,Europe,Turkey,14.9,9.5,1.9,101.3,414,http://www.forbes.com/companies/garanti-bank/,0.018756169792695,0.2
Illinois Tool Works,Industrials,Other Industrial Equipment,North America,United States,34.9,15.4,1.7,20,415,http://www.forbes.com/companies/illinois-tool-works/,0.085,0.11038961038961
Indian Oil,Energy,Oil & Gas Operations,Asia,India,11.1,74.6,0.8,43.7,416,http://www.forbes.com/companies/indian-oil/,0.0183066361556064,0.0107238605898123
Mitsui Fudosan,Financials,Real Estate,Asia,Japan,26.8,15.3,0.8,43,417,http://www.forbes.com/companies/mitsui-fudosan/,0.0186046511627907,0.0522875816993464
Humana,Health Care,Managed Health Care,North America,United States,17.5,41.3,1.2,21.3,418,http://www.forbes.com/companies/humana/,0.0563380281690141,0.0290556900726392
Fuji Heavy Industries,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,21.3,23.1,2.5,17,419,http://www.forbes.com/companies/fuji-heavy-industries/,0.147058823529412,0.108225108225108
Syngenta,Materials,Specialized Chemicals,Europe,Switzerland,34.6,14.7,1.7,20.2,419,http://www.forbes.com/companies/syngenta/,0.0841584158415842,0.115646258503401
HDFC Bank,Financials,Regional Banks,Asia,India,29.6,7.9,1.3,75,421,http://www.forbes.com/companies/hdfc-bank/,0.0173333333333333,0.164556962025316
Texas Instruments,Information Technology,Semiconductors,North America,United States,51.4,12.2,2.1,18.9,421,http://www.forbes.com/companies/texas-instruments/,0.111111111111111,0.172131147540984
Colgate-Palmolive,Consumer Staples,Household/Personal Care,North America,United States,59,17.4,2.2,13.9,423,http://www.forbes.com/companies/colgate-palmolive/,0.158273381294964,0.126436781609195
NTPC,Utilities,Electric Utilities,Asia,India,16.8,12.3,2.3,35.5,424,http://www.forbes.com/companies/ntpc/,0.0647887323943662,0.186991869918699
Royal Bank of Scotland,Financials,Major Banks,Europe,United Kingdom,59.8,38.3,-13.4,1702.4,424,http://www.forbes.com/companies/royal-bank-of-scotland/,-0.00787124060150376,-0.349869451697128
Tencent Holdings,Information Technology,Computer Services,Asia,China,135.4,9.8,2.5,17.7,426,http://www.forbes.com/companies/tencent-holdings/,0.141242937853107,0.255102040816327
Swisscom,Telecommunication Services,Telecommunications services,Europe,Switzerland,31.3,12.3,1.8,23,427,http://www.forbes.com/companies/swisscom/,0.0782608695652174,0.146341463414634
Coal India,Materials,Diversified Metals & Mining,Asia,India,30.6,12.6,3.2,18.4,428,http://www.forbes.com/companies/coal-india/,0.173913043478261,0.253968253968254
Bank of Beijing,Financials,Regional Banks,Asia,China,10.8,9.8,2.1,197.2,429,http://www.forbes.com/companies/bank-of-beijing/,0.0106490872210953,0.214285714285714
PPL,Utilities,Electric Utilities,North America,United States,20.7,11.9,1.1,46.3,430,http://www.forbes.com/companies/ppl/,0.0237580993520518,0.092436974789916
AMP,Financials,Investment Services,Australia,Australia,13.5,19.4,0.6,119.2,431,http://www.forbes.com/companies/amp/,0.00503355704697987,0.0309278350515464
Macquarie Group,Financials,Investment Services,Australia,Australia,17.2,10.3,0.9,144.6,432,http://www.forbes.com/companies/macquarie-group/,0.00622406639004149,0.087378640776699
Prudential Financial,Financials,Life & Health Insurance,North America,United States,39.7,48.7,-0.7,731.8,433,http://www.forbes.com/companies/prudential-financial/,-0.00095654550423613,-0.0143737166324435
HeidelbergCement,Materials,Construction Materials,Europe,Germany,16.5,18.5,1,37,434,http://www.forbes.com/companies/heidelbergcement/,0.027027027027027,0.0540540540540541
UniCredit Group,Financials,Major Banks,Europe,Italy,53.8,32.8,-7.9,1165.5,435,http://www.forbes.com/companies/unicredit-group/,-0.00677820677820678,-0.240853658536585
Suzuki Motor,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,14.6,29,1.2,26.4,436,http://www.forbes.com/companies/suzuki-motor/,0.0454545454545455,0.0413793103448276
Praxair,Materials,Specialized Chemicals,North America,United States,38.5,11.9,1.8,20.3,437,http://www.forbes.com/companies/praxair/,0.0886699507389163,0.151260504201681
Edison International,Utilities,Electric Utilities,North America,United States,18.4,12.6,1,46.6,438,http://www.forbes.com/companies/edison-international/,0.0214592274678112,0.0793650793650794
SK Hynix,Information Technology,Semiconductors,Asia,South Korea,24.9,12.9,2.6,19.8,439,http://www.forbes.com/companies/sk-hynix/,0.131313131313131,0.201550387596899
PPG Industries,Materials,Diversified Chemicals,North America,United States,27.3,15.1,3.2,15.9,440,http://www.forbes.com/companies/ppg-industries/,0.20125786163522,0.211920529801325
JFE Holdings,Materials,Iron & Steel,Asia,Japan,10.9,36.1,1,40.1,441,http://www.forbes.com/companies/jfe-holdings/,0.0249376558603491,0.0277008310249307
Vale,Materials,Iron & Steel,South America,Brazil,71.4,47.6,0.1,123.7,442,http://www.forbes.com/companies/vale/,0.000808407437348424,0.00210084033613445
Tenaga Nasional,Utilities,Electric Utilities,Asia,Malaysia,20.7,12,1.6,31.3,443,http://www.forbes.com/companies/tenaga-nasional/,0.0511182108626198,0.133333333333333
Resona Holdings,Financials,Regional Banks,Asia,Japan,10.9,7.9,2.2,420.3,444,http://www.forbes.com/companies/resona-holdings/,0.00523435641208661,0.278481012658228
Toyota Industries,Consumer Discretionary,Auto & Truck Parts,Asia,Japan,14.8,20,0.9,38.1,445,http://www.forbes.com/companies/toyota-industries/,0.0236220472440945,0.045
Daiwa Securities,Financials,Investment Services,Asia,Japan,14.9,6.8,1.9,199.3,446,http://www.forbes.com/companies/daiwa-securities/,0.0095333667837431,0.279411764705882
Fifth Third Bancorp,Financials,Regional Banks,North America,United States,19.7,6.2,1.8,131.5,447,http://www.forbes.com/companies/fifth-third-bancorp/,0.0136882129277567,0.290322580645161
United Continental Holdings,Industrials,Airline,North America,United States,17.4,38.3,0.6,36.8,448,http://www.forbes.com/companies/united-continental-holdings/,0.016304347826087,0.0156657963446475
H&M,Consumer Discretionary,Apparel/Footwear Retail,Europe,Sweden,70.9,20.3,2.7,10.3,449,http://www.forbes.com/companies/hm/,0.262135922330097,0.133004926108374
Koç Holding,Industrials,Conglomerates,Europe,Turkey,10.6,34.7,1.4,27.4,450,http://www.forbes.com/companies/koc-holding/,0.0510948905109489,0.0403458213256484
Chesapeake Energy,Energy,Oil & Gas Operations,North America,United States,17.4,17.8,0.7,41.8,451,http://www.forbes.com/companies/chesapeake-energy/,0.0167464114832536,0.0393258426966292
Amazon.com,Consumer Discretionary,Internet & Catalog Retail,North America,United States,157.5,74.5,0.3,41.4,452,http://www.forbes.com/companies/amazon/,0.0072463768115942,0.00402684563758389
Intesa Sanpaolo,Financials,Major Banks,Europe,Italy,57.4,24.5,-6,863,453,http://www.forbes.com/companies/intesa-sanpaolo/,-0.00695249130938586,-0.244897959183673
Paccar,Industrials,Heavy Equipment,North America,United States,24,17.1,1.2,20.7,454,http://www.forbes.com/companies/paccar/,0.0579710144927536,0.0701754385964912
Aon,Financials,Insurance Brokers,Europe,United Kingdom,25.5,11.8,1.1,30.3,455,http://www.forbes.com/companies/aon/,0.0363036303630363,0.0932203389830508
Xerox,Industrials,Business Products & Supplies,North America,United States,13.6,21.6,1.2,29,456,http://www.forbes.com/companies/xerox/,0.0413793103448276,0.0555555555555556
Hana Financial Group,Financials,Regional Banks,Asia,South Korea,10.6,13,0.8,279.7,457,http://www.forbes.com/companies/hana-financial/,0.00286020736503397,0.0615384615384615
Etisalat,Telecommunication Services,Telecommunications services,Asia,United Arab Emirates,25.8,10.6,1.9,23.3,458,http://www.forbes.com/companies/etisalat/,0.0815450643776824,0.179245283018868
Loews,Financials,Diversified Insurance,North America,United States,17.2,14.7,0.6,79.9,459,http://www.forbes.com/companies/loews/,0.00750938673341677,0.0408163265306122
Tokyo Electric Power,Utilities,Electric Utilities,Asia,Japan,6.3,66,0.9,145.6,460,http://www.forbes.com/companies/tokyo-electric-power/,0.00618131868131868,0.0136363636363636
CIMB Group Holdings,Financials,Regional Banks,Asia,Malaysia,18.1,6.8,1.4,113.2,460,http://www.forbes.com/companies/cimb-group-holdings/,0.0123674911660777,0.205882352941176
SK Telecom,Telecommunication Services,Telecommunications services,Asia,South Korea,16.6,15.3,1.5,25.2,460,http://www.forbes.com/companies/sk-telecom/,0.0595238095238095,0.0980392156862745
TJX Cos,Consumer Discretionary,Department Stores,North America,United States,43.5,27.4,2.1,10.2,463,http://www.forbes.com/companies/tjx-cos/,0.205882352941176,0.0766423357664234
Charles Schwab,Financials,Investment Services,North America,United States,35.6,5.5,1.1,143.9,464,http://www.forbes.com/companies/charles-schwab/,0.00764419735927728,0.2
Associated British Foods,Consumer Staples,Food Processing,Europe,United Kingdom,36.7,20.8,0.9,16.8,465,http://www.forbes.com/companies/associated-british-foods/,0.0535714285714286,0.0432692307692308
Tesco,Consumer Staples,Food Retail,Europe,United Kingdom,39.5,100.6,-0.5,78,465,http://www.forbes.com/companies/tesco/,-0.00641025641025641,-0.00497017892644135
Principal Financial Group,Financials,Life & Health Insurance,North America,United States,13.9,9.5,0.9,208.2,465,http://www.forbes.com/companies/principal-financial-group/,0.00432276657060519,0.0947368421052632
Mitsubishi Estate,Financials,Real Estate,Asia,Japan,32.8,10.2,0.7,45.1,468,http://www.forbes.com/companies/mitsubishi-estate/,0.0155210643015521,0.0686274509803922
GFNorte,Financials,Regional Banks,North America,Mexico,18.2,8.4,1.1,76.9,469,http://www.forbes.com/companies/gfnorte/,0.0143042912873862,0.130952380952381
